year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.11,0.11,-0.0089,1.0,-0.89,0,0,0,0,0,0,0,0,0
2020,Q3,,-0.05,-11.3457,0.0,-1134.57,0,0,0,0,0,0,0,0,0
2020,Q4,0.04,0.04,0.0715,1.0,7.15,0,0,0,0,0,0,0,0,0
2021,Q1,0.16,-0.07,-1.4419,0.0,-144.19,0,0,0,0,0,0,0,0,0
2021,Q2,0.12,0.12,0.0098,1.0,0.98,0,0,0,0,0,0,0,0,0
2021,Q3,0.16,0.1,-0.3684,0.0,-36.84,0,0,0,0,0,0,0,0,0
2021,Q4,0.21,0.16,-0.2506,0.0,-25.06,0,0,0,0,0,0,0,0,0
2022,Q1,0.29,0.25,-0.1284,1.0,-12.84,0,0,0,0,0,0,0,0,0
2022,Q2,0.2,0.15,-0.2366,1.0,-23.66,0,0,0,0,0,0,0,0,0
2022,Q3,0.22,0.11,-0.4887,0.0,-48.87,0,0,0,0,0,0,0,0,0
2022,Q4,0.25,0.26,0.0583,1.0,5.83,0,0,0,0,0,0,0,0,0
2023,Q1,0.4,0.38,-0.0529,0.0,-5.29,0,0,0,0,0,0,0,0,0
2023,Q2,0.26,0.28,0.0749,0.0,7.49,0,0,0,0,0,0,0,0,0
2023,Q3,0.33,0.39,0.1692,1.0,16.92,0,0,0,0,0,0,0,0,0
2023,Q4,0.4,0.42,0.0582,0.0,5.82,0,0,0,0,0,0,0,0,0
2024,Q1,0.48,0.51,0.0688,0.0,6.88,0,0,0,0,0,0,0,0,0
2024,Q2,0.4,0.43,0.0862,0.0,8.62,0,0,0,0,0,0,0,0,0
2024,Q3,0.49,0.57,0.1639,1.0,16.39,0,0,0,0,0,0,0,0,0
2024,Q4,0.61,0.67,0.1038,0.0,10.38,0,0,0,0,0,0,0,0,0
2025,Q1,0.63,0.7,0.1185,1.0,11.85,0,0,0,0,0,0,0,0,0
2025,Q2,0.47,0.51,0.0759,0.0,7.59,0,0,0,0,0,0,0,0,0
2025,Q3,0.55,0.63,0.1361,1.0,13.61,0,0,0,0,0,0,0,0,0
2025,Q4,0.62,0.68,0.0929,0.0,9.29,0,0,0,0,0,0,0,0,0
2026,Q1,0.67,0.88,0.3205,0.0,32.05,0,0,0,0,0,0,0,0,0
