year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.45,1.72,0.1877,1.0,18.77,0,0,0,0,0,0,0,0,0
2020,Q3,1.48,1.63,0.1023,1.0,10.23,0,0,0,0,0,0,0,0,0
2020,Q4,1.49,1.63,0.0932,1.0,9.32,0,0,0,0,0,0,0,0,0
2021,Q1,1.42,1.46,0.0312,1.0,3.12,0,0,0,0,0,0,0,0,0
2021,Q2,1.81,1.74,-0.0391,0.0,-3.91,0,0,0,0,0,0,0,0,0
2021,Q3,1.9,1.93,0.0177,0.0,1.77,0,0,0,0,0,0,0,0,0
2021,Q4,1.92,2.0,0.0426,1.0,4.26,0,0,0,0,0,0,0,0,0
2022,Q1,1.8,1.83,0.0166,0.0,1.66,0,0,0,0,0,0,0,0,0
2022,Q2,1.9,1.96,0.0334,0.0,3.34,0,0,0,0,0,0,0,0,0
2022,Q3,1.8,1.93,0.0727,0.0,7.27,0,0,0,0,0,0,0,0,0
2022,Q4,1.83,1.99,0.0846,1.0,8.46,0,0,0,0,0,0,0,0,0
2023,Q1,1.73,1.82,0.0517,1.0,5.17,0,0,0,0,0,0,0,0,0
2023,Q2,1.97,2.05,0.0387,1.0,3.87,0,0,0,0,0,0,0,0,0
2023,Q3,1.99,1.75,-0.1198,0.0,-11.98,0,0,0,0,0,0,0,0,0
2023,Q4,1.77,2.0,0.1302,1.0,13.02,0,0,0,0,0,0,0,0,0
2024,Q1,1.58,1.7,0.0777,1.0,7.77,0,0,0,0,0,0,0,0,0
2024,Q2,-4.4,-4.4,-0.0005,0.0,-0.05,0,0,0,0,0,0,0,0,0
2024,Q3,1.63,2.07,0.2737,1.0,27.37,0,0,0,0,0,0,0,0,0
2024,Q4,1.5,1.8,0.1998,1.0,19.98,0,0,0,0,0,0,0,0,0
2025,Q1,1.47,1.67,0.138,0.0,13.8,0,0,0,0,0,0,0,0,0
2025,Q2,1.5,1.8,0.1988,0.0,19.88,0,0,0,0,0,0,0,0,0
2025,Q3,1.1,1.46,0.326,1.0,32.6,0,0,0,0,0,0,0,0,0
2025,Q4,1.52,1.63,0.0755,1.0,7.55,0,0,0,0,0,0,0,0,0
2026,Q1,1.2,1.26,0.0457,0.0,4.57,0,0,0,0,0,0,0,0,0
