year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.46,0.51,0.1117,0.0,11.17,0,0,0,0,0,0,0,0,0
2020,Q3,0.28,0.34,0.1939,0.0,19.39,0,0,0,0,0,0,0,0,0
2020,Q4,0.43,0.52,0.2112,1.0,21.12,0,0,0,0,0,0,0,0,0
2021,Q1,0.29,0.32,0.0905,0.0,9.05,0,0,0,0,0,0,0,0,0
2021,Q2,0.57,0.7,0.2266,1.0,22.66,0,0,0,0,0,0,0,0,0
2021,Q3,0.4,0.49,0.2148,1.0,21.48,0,0,0,0,0,0,0,0,0
2021,Q4,0.53,0.58,0.0943,1.0,9.43,0,0,0,0,0,0,0,0,0
2022,Q1,0.39,0.42,0.0769,1.0,7.69,0,0,0,0,0,0,0,0,0
2022,Q2,0.75,0.78,0.0376,0.0,3.76,0,0,0,0,0,0,0,0,0
2022,Q3,0.49,0.51,0.0474,1.0,4.74,0,0,0,0,0,0,0,0,0
2022,Q4,0.6,0.5,-0.167,0.0,-16.7,0,0,0,0,0,0,0,0,0
2023,Q1,0.46,0.5,0.0987,1.0,9.87,0,0,0,0,0,0,0,0,0
2023,Q2,0.81,0.84,0.0336,0.0,3.36,0,0,0,0,0,0,0,0,0
2023,Q3,0.59,0.68,0.146,1.0,14.6,0,0,0,0,0,0,0,0,0
2023,Q4,0.62,0.71,0.1392,1.0,13.92,0,0,0,0,0,0,0,0,0
2024,Q1,0.53,0.58,0.1001,1.0,10.01,0,0,0,0,0,0,0,0,0
2024,Q2,1.07,1.14,0.0661,1.0,6.61,0,0,0,0,0,0,0,0,0
2024,Q3,0.88,0.93,0.0607,1.0,6.07,0,0,0,0,0,0,0,0,0
2024,Q4,0.88,0.91,0.038,0.0,3.8,0,0,0,0,0,0,0,0,0
2025,Q1,0.77,0.86,0.1209,1.0,12.09,0,0,0,0,0,0,0,0,0
2025,Q2,1.3,1.29,-0.0053,0.0,-0.53,0,0,0,0,0,0,0,0,0
2025,Q3,0.99,1.03,0.0455,0.0,4.55,0,0,0,0,0,0,0,0,0
2025,Q4,0.93,1.05,0.1291,1.0,12.91,0,0,0,0,0,0,0,0,0
2026,Q1,0.9,0.93,0.0334,0.0,3.34,0,0,0,0,0,0,0,0,0
