year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.32,0.28,-0.1123,0.0,-11.23,0,0,0,0,0,0,0,0,0
2020,Q3,-0.02,0.08,4.3656,1.0,436.56,0,0,0,0,0,0,0,0,0
2020,Q4,0.25,0.37,0.4966,1.0,49.66,0,0,0,0,0,0,0,0,0
2021,Q1,0.31,0.23,-0.2603,0.0,-26.03,0,0,0,0,0,0,0,0,0
2021,Q2,0.31,0.37,0.2108,1.0,21.08,0,0,0,0,0,0,0,0,0
2021,Q3,0.37,0.4,0.0732,1.0,7.32,0,0,0,0,0,0,0,0,0
2021,Q4,0.4,0.41,0.0366,1.0,3.66,0,0,0,0,0,0,0,0,0
2022,Q1,0.44,0.45,0.0251,1.0,2.51,0,0,0,0,0,0,0,0,0
2022,Q2,0.39,0.39,0.0122,0.0,1.22,0,0,0,0,0,0,0,0,0
2022,Q3,0.42,0.44,0.0396,1.0,3.96,0,0,0,0,0,0,0,0,0
2022,Q4,0.44,0.43,-0.0257,1.0,-2.57,0,0,0,0,0,0,0,0,0
2023,Q1,0.47,0.45,-0.0464,0.0,-4.64,0,0,0,0,0,0,0,0,0
2023,Q2,0.43,0.47,0.086,1.0,8.6,0,0,0,0,0,0,0,0,0
2023,Q3,0.49,0.53,0.0815,1.0,8.15,0,0,0,0,0,0,0,0,0
2023,Q4,0.48,0.5,0.0472,0.0,4.72,0,0,0,0,0,0,0,0,0
2024,Q1,0.51,0.55,0.0733,0.0,7.33,0,0,0,0,0,0,0,0,0
2024,Q2,0.51,0.56,0.0914,1.0,9.14,0,0,0,0,0,0,0,0,0
2024,Q3,0.58,0.62,0.0651,0.0,6.51,0,0,0,0,0,0,0,0,0
2024,Q4,0.59,0.63,0.0705,1.0,7.05,0,0,0,0,0,0,0,0,0
2025,Q1,0.66,0.7,0.0657,0.0,6.57,0,0,0,0,0,0,0,0,0
2025,Q2,0.67,0.75,0.1152,1.0,11.52,0,0,0,0,0,0,0,0,0
2025,Q3,0.73,0.75,0.0342,0.0,3.42,0,0,0,0,0,0,0,0,0
2025,Q4,0.71,0.75,0.0509,1.0,5.09,0,0,0,0,0,0,0,0,0
2026,Q1,0.78,0.8,0.0243,0.0,2.43,0,0,0,0,0,0,0,0,0
