year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.81,0.83,0.0247,0.0,2.47,0,0,0,0,0,0,0,0,0
2020,Q3,0.52,0.74,0.4322,1.0,43.22,0,0,0,0,0,0,0,0,0
2020,Q4,0.53,0.58,0.0902,1.0,9.02,0,0,0,0,0,0,0,0,0
2021,Q1,0.58,0.62,0.0747,1.0,7.47,0,0,0,0,0,0,0,0,0
2021,Q2,0.56,0.59,0.0498,0.0,4.98,0,0,0,0,0,0,0,0,0
2021,Q3,0.58,0.71,0.2341,1.0,23.41,0,0,0,0,0,0,0,0,0
2021,Q4,0.62,0.69,0.1116,0.0,11.16,0,0,0,0,0,0,0,0,0
2022,Q1,0.5,0.72,0.4444,1.0,44.44,0,0,0,0,0,0,0,0,0
2022,Q2,0.65,0.78,0.196,1.0,19.6,0,0,0,0,0,0,0,0,0
2022,Q3,0.78,0.84,0.0762,1.0,7.62,0,0,0,0,0,0,0,0,0
2022,Q4,0.73,0.64,-0.1299,1.0,-12.99,0,0,0,0,0,0,0,0,0
2023,Q1,0.64,0.34,-0.4642,0.0,-46.42,0,0,0,0,0,0,0,0,0
2023,Q2,0.48,0.48,-0.0005,0.0,-0.05,0,0,0,0,0,0,0,0,0
2023,Q3,0.59,0.65,0.1133,1.0,11.33,0,0,0,0,0,0,0,0,0
2023,Q4,0.63,-0.71,-2.1243,0.0,-212.43,0,0,0,0,0,0,0,0,0
2024,Q1,0.62,0.57,-0.0685,0.0,-6.85,0,0,0,0,0,0,0,0,0
2024,Q2,0.47,0.44,-0.0639,0.0,-6.39,0,0,0,0,0,0,0,0,0
2024,Q3,0.45,0.5,0.1196,1.0,11.96,0,0,0,0,0,0,0,0,0
2024,Q4,0.48,0.51,0.0642,0.0,6.42,0,0,0,0,0,0,0,0,0
2025,Q1,0.44,0.71,0.5921,1.0,59.21,0,0,0,0,0,0,0,0,0
2025,Q2,0.33,0.4,0.2255,0.0,22.55,0,0,0,0,0,0,0,0,0
2025,Q3,0.42,0.56,0.3362,1.0,33.62,0,0,0,0,0,0,0,0,0
2025,Q4,0.39,-0.36,-1.9403,0.0,-194.03,0,0,0,0,0,0,0,0,0
2026,Q1,0.51,0.68,0.3457,0.0,34.57,0,0,0,0,0,0,0,0,0
