year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.67,0.75,0.1274,0.0,12.74,0,0,0,0,0,0,0,0,0
2020,Q4,0.57,0.7,0.2197,1.0,21.97,0,0,0,0,0,0,0,0,0
2021,Q1,0.74,0.81,0.1019,1.0,10.19,0,0,0,0,0,0,0,0,0
2021,Q2,0.58,0.59,0.0102,0.0,1.02,0,0,0,0,0,0,0,0,0
2021,Q3,0.52,0.54,0.0435,1.0,4.35,0,0,0,0,0,0,0,0,0
2021,Q4,0.48,0.5,0.0319,1.0,3.19,0,0,0,0,0,0,0,0,0
2022,Q1,0.68,0.64,-0.0564,0.0,-5.64,0,0,0,0,0,0,0,0,0
2022,Q2,0.58,0.58,0.0025,0.0,0.25,0,0,0,0,0,0,0,0,0
2022,Q3,0.63,0.65,0.0266,0.0,2.66,0,0,0,0,0,0,0,0,0
2022,Q4,0.52,0.57,0.0938,0.0,9.38,0,0,0,0,0,0,0,0,0
2023,Q1,0.66,0.81,0.2191,1.0,21.91,0,0,0,0,0,0,0,0,0
2023,Q2,0.64,0.76,0.1887,1.0,18.87,0,0,0,0,0,0,0,0,0
2023,Q3,0.59,0.62,0.0444,0.0,4.44,0,0,0,0,0,0,0,0,0
2023,Q4,0.6,0.66,0.1066,1.0,10.66,0,0,0,0,0,0,0,0,0
2024,Q1,0.68,0.71,0.046,0.0,4.6,0,0,0,0,0,0,0,0,0
2024,Q2,0.65,0.69,0.0619,0.0,6.19,0,0,0,0,0,0,0,0,0
2024,Q3,0.57,0.61,0.0639,1.0,6.39,0,0,0,0,0,0,0,0,0
2024,Q4,0.67,0.7,0.0392,1.0,3.92,0,0,0,0,0,0,0,0,0
2024,Q4,0.6,0.53,-0.1127,0.0,-11.27,0,0,0,0,0,0,0,0,0
2025,Q2,0.53,0.51,-0.0318,1.0,-3.18,0,0,0,0,0,0,0,0,0
2025,Q3,0.58,0.56,-0.0357,0.0,-3.57,0,0,0,0,0,0,0,0,0
2025,Q4,0.44,0.45,0.0318,1.0,3.18,0,0,0,0,0,0,0,0,0
2025,Q4,0.33,0.39,0.1741,1.0,17.41,0,0,0,0,0,0,0,0,0
2026,Q2,0.4,0.39,-0.0261,0.0,-2.61,0,0,0,0,0,0,0,0,0
