year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.57,2.68,0.0408,1.0,4.08,0,0,0,0,0,0,0,0,0
2020,Q3,-0.39,-0.56,-0.4246,0.0,-42.46,0,0,0,0,0,0,0,0,0
2020,Q4,2.23,2.0,-0.1033,0.0,-10.33,0,0,0,0,0,0,0,0,0
2021,Q1,2.82,3.18,0.1267,1.0,12.67,0,0,0,0,0,0,0,0,0
2021,Q2,2.49,2.52,0.0135,0.0,1.35,0,0,0,0,0,0,0,0,0
2021,Q3,3.02,3.62,0.2007,1.0,20.07,0,0,0,0,0,0,0,0,0
2021,Q4,2.25,2.64,0.1709,1.0,17.09,0,0,0,0,0,0,0,0,0
2022,Q1,3.28,3.81,0.1609,1.0,16.09,0,0,0,0,0,0,0,0,0
2022,Q2,3.48,3.82,0.0986,0.0,9.86,0,0,0,0,0,0,0,0,0
2022,Q3,3.62,4.2,0.1608,0.0,16.08,0,0,0,0,0,0,0,0,0
2022,Q4,2.61,3.17,0.2157,1.0,21.57,0,0,0,0,0,0,0,0,0
2023,Q1,4.25,4.05,-0.047,0.0,-4.7,0,0,0,0,0,0,0,0,0
2023,Q2,4.46,4.41,-0.0111,0.0,-1.11,0,0,0,0,0,0,0,0,0
2023,Q3,4.42,4.92,0.1135,0.0,11.35,0,0,0,0,0,0,0,0,0
2023,Q4,4.42,4.95,0.1205,1.0,12.05,0,0,0,0,0,0,0,0,0
2024,Q1,5.12,5.54,0.0813,1.0,8.13,0,0,0,0,0,0,0,0,0
2024,Q2,5.3,5.41,0.0211,0.0,2.11,0,0,0,0,0,0,0,0,0
2024,Q3,5.15,5.38,0.044,0.0,4.4,0,0,0,0,0,0,0,0,0
2024,Q4,4.99,5.72,0.1464,1.0,14.64,0,0,0,0,0,0,0,0,0
2025,Q1,5.45,6.02,0.1046,0.0,10.46,0,0,0,0,0,0,0,0,0
2025,Q2,3.23,3.68,0.14,1.0,14.0,0,0,0,0,0,0,0,0,0
2025,Q3,5.97,6.14,0.0285,0.0,2.85,0,0,0,0,0,0,0,0,0
2025,Q4,6.16,7.49,0.2168,1.0,21.68,0,0,0,0,0,0,0,0,0
2026,Q1,6.78,7.52,0.1098,0.0,10.98,0,0,0,0,0,0,0,0,0
