year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.25,0.31,0.2327,0.0,23.27,0,0,0,0,0,0,0,0,0
2020,Q3,0.66,0.89,0.3511,1.0,35.11,0,0,0,0,0,0,0,0,0
2020,Q4,0.05,-0.1,-3.0597,0.0,-305.97,0,0,0,0,0,0,0,0,0
2021,Q1,0.12,0.4,2.4276,1.0,242.76,0,0,0,0,0,0,0,0,0
2021,Q2,0.64,0.7,0.0898,1.0,8.98,0,0,0,0,0,0,0,0,0
2021,Q3,1.57,1.14,-0.2753,1.0,-27.53,0,0,0,0,0,0,0,0,0
2021,Q4,1.01,-0.86,-1.8523,0.0,-185.23,0,0,0,0,0,0,0,0,0
2022,Q1,3.45,3.53,0.0214,1.0,2.14,0,0,0,0,0,0,0,0,0
2022,Q2,4.54,4.21,-0.0718,0.0,-7.18,0,0,0,0,0,0,0,0,0
2022,Q3,5.94,5.58,-0.0603,1.0,-6.03,0,0,0,0,0,0,0,0,0
2022,Q4,3.5,2.18,-0.3775,0.0,-37.75,0,0,0,0,0,0,0,0,0
2023,Q1,4.32,4.35,0.0077,0.0,0.77,0,0,0,0,0,0,0,0,0
2023,Q2,2.45,2.85,0.161,0.0,16.1,0,0,0,0,0,0,0,0,0
2023,Q3,2.1,2.7,0.2869,1.0,28.69,0,0,0,0,0,0,0,0,0
2023,Q4,1.06,0.85,-0.2006,0.0,-20.06,0,0,0,0,0,0,0,0,0
2024,Q1,1.58,1.44,-0.0863,1.0,-8.63,0,0,0,0,0,0,0,0,0
2024,Q2,1.62,1.03,-0.3626,0.0,-36.26,0,0,0,0,0,0,0,0,0
2024,Q3,1.91,2.3,0.2047,0.0,20.47,0,0,0,0,0,0,0,0,0
2024,Q4,1.11,1.55,0.4007,1.0,40.07,0,0,0,0,0,0,0,0,0
2025,Q1,1.52,1.89,0.2447,1.0,24.47,0,0,0,0,0,0,0,0,0
2025,Q2,1.51,1.85,0.229,1.0,22.9,0,0,0,0,0,0,0,0,0
2025,Q3,2.48,2.37,-0.0449,0.0,-4.49,0,0,0,0,0,0,0,0,0
2025,Q4,2.07,2.19,0.0559,0.0,5.59,0,0,0,0,0,0,0,0,0
2026,Q1,2.47,3.06,0.2391,0.0,23.91,0,0,0,0,0,0,0,0,0
