year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.69,0.57,-0.1742,0.0,-17.42,0,0,0,0,0,0,0,0,0
2020,Q3,0.61,1.06,0.7426,1.0,74.26,0,0,0,0,0,0,0,0,0
2020,Q4,0.98,1.0,0.0225,0.0,2.25,0,0,0,0,0,0,0,0,0
2021,Q1,0.98,1.08,0.1055,0.0,10.55,0,0,0,0,0,0,0,0,0
2021,Q2,0.99,1.28,0.2951,1.0,29.51,0,0,0,0,0,0,0,0,0
2021,Q3,1.34,1.44,0.0739,0.0,7.39,0,0,0,0,0,0,0,0,0
2021,Q4,1.42,1.85,0.2998,1.0,29.98,0,0,0,0,0,0,0,0,0
2022,Q1,1.86,1.74,-0.0643,0.0,-6.43,0,0,0,0,0,0,0,0,0
2022,Q2,1.55,2.05,0.3223,0.0,32.23,0,0,0,0,0,0,0,0,0
2022,Q3,1.99,2.67,0.3408,1.0,34.08,0,0,0,0,0,0,0,0,0
2022,Q4,2.17,1.78,-0.18,1.0,-18.0,0,0,0,0,0,0,0,0,0
2023,Q1,1.34,1.03,-0.2341,0.0,-23.41,0,0,0,0,0,0,0,0,0
2023,Q2,0.98,0.98,-0.0011,1.0,-0.11,0,0,0,0,0,0,0,0,0
2023,Q3,0.91,0.9,-0.0126,0.0,-1.26,0,0,0,0,0,0,0,0,0
2023,Q4,0.8,0.84,0.044,1.0,4.4,0,0,0,0,0,0,0,0,0
2024,Q1,0.81,0.5,-0.3792,0.0,-37.92,0,0,0,0,0,0,0,0,0
2024,Q2,0.63,0.86,0.3665,1.0,36.65,0,0,0,0,0,0,0,0,0
2024,Q3,0.96,1.15,0.2015,1.0,20.15,0,0,0,0,0,0,0,0,0
2024,Q4,1.15,1.28,0.1145,1.0,11.45,0,0,0,0,0,0,0,0,0
2025,Q1,1.11,1.21,0.0925,0.0,9.25,0,0,0,0,0,0,0,0,0
2025,Q2,1.05,1.17,0.1138,0.0,11.38,0,0,0,0,0,0,0,0,0
2025,Q3,1.16,1.29,0.1161,1.0,11.61,0,0,0,0,0,0,0,0,0
2025,Q4,1.3,1.4,0.0737,0.0,7.37,0,0,0,0,0,0,0,0,0
2026,Q1,1.13,1.23,0.0922,0.0,9.22,0,0,0,0,0,0,0,0,0
