year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.94,1.98,-0.3273,0.0,-32.73,0,0,0,0,0,0,0,0,0
2020,Q3,2.48,3.63,0.4644,1.0,46.44,0,0,0,0,0,0,0,0,0
2020,Q4,2.91,3.9,0.3391,1.0,33.91,0,0,0,0,0,0,0,0,0
2021,Q1,4.75,6.05,0.2744,1.0,27.44,0,0,0,0,0,0,0,0,0
2021,Q2,4.18,4.11,-0.0179,0.0,-1.79,0,0,0,0,0,0,0,0,0
2021,Q3,4.77,5.29,0.1092,0.0,10.92,0,0,0,0,0,0,0,0,0
2021,Q4,5.75,6.5,0.1309,0.0,13.09,0,0,0,0,0,0,0,0,0
2022,Q1,7.08,8.93,0.2622,1.0,26.22,0,0,0,0,0,0,0,0,0
2022,Q2,6.59,6.9,0.0471,0.0,4.71,0,0,0,0,0,0,0,0,0
2022,Q3,7.11,8.8,0.2384,1.0,23.84,0,0,0,0,0,0,0,0,0
2022,Q4,8.38,7.38,-0.1197,1.0,-11.97,0,0,0,0,0,0,0,0,0
2023,Q1,8.77,7.69,-0.1233,1.0,-12.33,0,0,0,0,0,0,0,0,0
2023,Q2,7.6,6.65,-0.1249,0.0,-12.49,0,0,0,0,0,0,0,0,0
2023,Q3,8.1,8.05,-0.0061,0.0,-0.61,0,0,0,0,0,0,0,0,0
2023,Q4,7.98,8.25,0.0335,1.0,3.35,0,0,0,0,0,0,0,0,0
2024,Q1,8.77,7.07,-0.1935,0.0,-19.35,0,0,0,0,0,0,0,0,0
2024,Q2,7.74,7.55,-0.0251,0.0,-2.51,0,0,0,0,0,0,0,0,0
2024,Q3,7.9,8.49,0.0747,1.0,7.47,0,0,0,0,0,0,0,0,0
2024,Q4,8.49,8.82,0.0387,0.0,3.87,0,0,0,0,0,0,0,0,0
2025,Q1,9.22,10.1,0.0949,1.0,9.49,0,0,0,0,0,0,0,0,0
2025,Q2,8.37,8.42,0.0056,1.0,0.56,0,0,0,0,0,0,0,0,0
2025,Q3,9.66,9.18,-0.0496,1.0,-4.96,0,0,0,0,0,0,0,0,0
2025,Q4,9.29,8.34,-0.1027,0.0,-10.27,0,0,0,0,0,0,0,0,0
2026,Q1,9.93,10.34,0.0409,0.0,4.09,0,0,0,0,0,0,0,0,0
