year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.99,0.86,-0.1351,0.0,-13.51,0,0,0,0,0,0,0,0,0
2020,Q3,2.43,2.4,-0.012,0.0,-1.2,0,0,0,0,0,0,0,0,0
2020,Q4,0.96,1.26,0.3069,1.0,30.69,0,0,0,0,0,0,0,0,0
2021,Q1,0.47,0.46,-0.0132,0.0,-1.32,0,0,0,0,0,0,0,0,0
2021,Q2,1.53,1.63,0.0642,1.0,6.42,0,0,0,0,0,0,0,0,0
2021,Q3,1.37,1.25,-0.0856,0.0,-8.56,0,0,0,0,0,0,0,0,0
2021,Q4,1.23,1.26,0.0259,0.0,2.59,0,0,0,0,0,0,0,0,0
2022,Q1,0.97,1.01,0.0373,0.0,3.73,0,0,0,0,0,0,0,0,0
2022,Q2,1.69,1.83,0.0799,0.0,7.99,0,0,0,0,0,0,0,0,0
2022,Q3,1.59,1.77,0.1136,1.0,11.36,0,0,0,0,0,0,0,0,0
2022,Q4,1.23,1.3,0.0545,1.0,5.45,0,0,0,0,0,0,0,0,0
2023,Q1,0.84,0.86,0.0287,1.0,2.87,0,0,0,0,0,0,0,0,0
2023,Q2,2.1,2.11,0.004,0.0,0.4,0,0,0,0,0,0,0,0,0
2023,Q3,2.05,2.1,0.026,0.0,2.6,0,0,0,0,0,0,0,0,0
2023,Q4,1.54,2.0,0.3007,1.0,30.07,0,0,0,0,0,0,0,0,0
2024,Q1,0.44,0.45,0.0213,0.0,2.13,0,0,0,0,0,0,0,0,0
2024,Q2,2.08,2.26,0.0865,0.0,8.65,0,0,0,0,0,0,0,0,0
2024,Q3,2.09,2.42,0.1605,1.0,16.05,0,0,0,0,0,0,0,0,0
2024,Q4,1.41,1.62,0.1487,0.0,14.87,0,0,0,0,0,0,0,0,0
2025,Q1,0.49,0.8,0.6218,1.0,62.18,0,0,0,0,0,0,0,0,0
2025,Q2,2.52,2.9,0.1527,1.0,15.27,0,0,0,0,0,0,0,0,0
2025,Q3,0.21,-0.16,-1.7727,0.0,-177.27,0,0,0,0,0,0,0,0,0
2025,Q4,-0.16,0.5,4.0428,1.0,404.28,0,0,0,0,0,0,0,0,0
2026,Q1,-1.22,-1.19,0.0246,0.0,2.46,0,0,0,0,0,0,0,0,0
