year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.61,0.38,-0.377,0.0,-37.7,0,0,0,0,0,0,0,0,0
2020,Q3,0.38,0.57,0.484,1.0,48.4,0,0,0,0,0,0,0,0,0
2020,Q4,0.78,0.79,0.0155,0.0,1.55,0,0,0,0,0,0,0,0,0
2021,Q1,0.7,0.79,0.1355,1.0,13.55,0,0,0,0,0,0,0,0,0
2021,Q2,0.77,0.85,0.0937,1.0,9.37,0,0,0,0,0,0,0,0,0
2021,Q3,0.82,0.85,0.0361,1.0,3.61,0,0,0,0,0,0,0,0,0
2021,Q4,0.84,0.82,-0.0285,0.0,-2.85,0,0,0,0,0,0,0,0,0
2022,Q1,0.78,0.81,0.0415,1.0,4.15,0,0,0,0,0,0,0,0,0
2022,Q2,0.86,0.81,-0.0549,0.0,-5.49,0,0,0,0,0,0,0,0,0
2022,Q3,0.81,0.8,-0.0118,1.0,-1.18,0,0,0,0,0,0,0,0,0
2022,Q4,0.78,0.69,-0.1164,0.0,-11.64,0,0,0,0,0,0,0,0,0
2023,Q1,0.67,0.73,0.0745,1.0,7.45,0,0,0,0,0,0,0,0,0
2023,Q2,0.76,0.77,0.0169,1.0,1.69,0,0,0,0,0,0,0,0,0
2023,Q3,0.84,0.84,0.0027,1.0,0.27,0,0,0,0,0,0,0,0,0
2023,Q4,0.87,0.87,-0.0039,0.0,-0.39,0,0,0,0,0,0,0,0,0
2024,Q1,0.78,0.85,0.0847,1.0,8.47,0,0,0,0,0,0,0,0,0
2024,Q2,0.83,0.85,0.0259,0.0,2.59,0,0,0,0,0,0,0,0,0
2024,Q3,0.91,0.96,0.0542,1.0,5.42,0,0,0,0,0,0,0,0,0
2024,Q4,1.0,1.04,0.0401,1.0,4.01,0,0,0,0,0,0,0,0,0
2025,Q1,0.91,0.92,0.0093,0.0,0.93,0,0,0,0,0,0,0,0,0
2025,Q2,0.93,0.96,0.0331,1.0,3.31,0,0,0,0,0,0,0,0,0
2025,Q3,1.07,1.1,0.0304,0.0,3.04,0,0,0,0,0,0,0,0,0
2025,Q4,1.11,1.15,0.0329,0.0,3.29,0,0,0,0,0,0,0,0,0
2026,Q1,1.03,1.1,0.0705,0.0,7.05,0,0,0,0,0,0,0,0,0
