year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.27,2.4,0.0586,0.0,5.86,0,0,0,0,0,0,0,0,0
2020,Q3,1.59,1.85,0.1623,1.0,16.23,0,0,0,0,0,0,0,0,0
2020,Q4,1.87,1.89,0.0095,0.0,0.95,0,0,0,0,0,0,0,0,0
2021,Q1,1.94,2.18,0.1223,1.0,12.23,0,0,0,0,0,0,0,0,0
2021,Q2,2.46,2.53,0.0277,0.0,2.77,0,0,0,0,0,0,0,0,0
2021,Q3,2.04,2.16,0.0593,1.0,5.93,0,0,0,0,0,0,0,0,0
2021,Q4,2.36,2.39,0.0148,1.0,1.48,0,0,0,0,0,0,0,0,0
2022,Q1,2.58,2.58,0.0019,0.0,0.19,0,0,0,0,0,0,0,0,0
2022,Q2,2.92,3.22,0.1025,1.0,10.25,0,0,0,0,0,0,0,0,0
2022,Q3,2.56,2.62,0.0235,1.0,2.35,0,0,0,0,0,0,0,0,0
2022,Q4,2.57,2.6,0.0103,0.0,1.03,0,0,0,0,0,0,0,0,0
2023,Q1,2.63,2.71,0.0291,0.0,2.91,0,0,0,0,0,0,0,0,0
2023,Q2,3.3,3.5,0.0609,1.0,6.09,0,0,0,0,0,0,0,0,0
2023,Q3,2.83,2.92,0.0335,1.0,3.35,0,0,0,0,0,0,0,0,0
2023,Q4,2.81,2.86,0.0192,0.0,1.92,0,0,0,0,0,0,0,0,0
2024,Q1,2.89,3.28,0.1346,1.0,13.46,0,0,0,0,0,0,0,0,0
2024,Q2,3.69,3.8,0.0289,0.0,2.89,0,0,0,0,0,0,0,0,0
2024,Q3,3.22,3.34,0.0375,1.0,3.75,0,0,0,0,0,0,0,0,0
2024,Q4,3.23,3.34,0.0347,0.0,3.47,0,0,0,0,0,0,0,0,0
2025,Q1,3.52,3.73,0.0596,0.0,5.96,0,0,0,0,0,0,0,0,0
2025,Q2,4.1,4.42,0.0792,1.0,7.92,0,0,0,0,0,0,0,0,0
2025,Q3,3.84,4.0,0.0424,1.0,4.24,0,0,0,0,0,0,0,0,0
2025,Q4,3.79,3.84,0.0144,1.0,1.44,0,0,0,0,0,0,0,0,0
2026,Q1,4.04,4.08,0.0099,0.0,0.99,0,0,0,0,0,0,0,0,0
