year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.81,3.0,0.0671,1.0,6.71,0,0,0,0,0,0,0,0,0
2020,Q3,2.17,2.28,0.0485,0.0,4.85,0,0,0,0,0,0,0,0,0
2020,Q4,2.65,2.8,0.0572,0.0,5.72,0,0,0,0,0,0,0,0,0
2021,Q1,2.82,3.01,0.0676,1.0,6.76,0,0,0,0,0,0,0,0,0
2021,Q2,2.72,2.82,0.0355,0.0,3.55,0,0,0,0,0,0,0,0,0
2021,Q3,2.94,3.15,0.073,1.0,7.3,0,0,0,0,0,0,0,0,0
2021,Q4,3.48,3.52,0.0111,0.0,1.11,0,0,0,0,0,0,0,0,0
2022,Q1,3.6,3.72,0.0345,1.0,3.45,0,0,0,0,0,0,0,0,0
2022,Q2,3.53,3.65,0.0335,0.0,3.35,0,0,0,0,0,0,0,0,0
2022,Q3,3.89,4.17,0.0732,1.0,7.32,0,0,0,0,0,0,0,0,0
2022,Q4,4.19,4.24,0.0119,0.0,1.19,0,0,0,0,0,0,0,0,0
2023,Q1,3.93,4.04,0.0278,0.0,2.78,0,0,0,0,0,0,0,0,0
2023,Q2,3.69,3.8,0.0289,1.0,2.89,0,0,0,0,0,0,0,0,0
2023,Q3,4.18,4.19,0.0027,1.0,0.27,0,0,0,0,0,0,0,0,0
2023,Q4,4.5,4.49,-0.0017,1.0,-0.17,0,0,0,0,0,0,0,0,0
2024,Q1,4.48,4.44,-0.0085,0.0,-0.85,0,0,0,0,0,0,0,0,0
2024,Q2,4.09,4.1,0.0013,0.0,0.13,0,0,0,0,0,0,0,0,0
2024,Q3,4.51,4.55,0.0089,1.0,0.89,0,0,0,0,0,0,0,0,0
2024,Q4,4.97,5.0,0.0054,1.0,0.54,0,0,0,0,0,0,0,0,0
2025,Q1,4.31,3.44,-0.2014,0.0,-20.14,0,0,0,0,0,0,0,0,0
2025,Q2,4.51,4.51,-0.0008,0.0,-0.08,0,0,0,0,0,0,0,0,0
2025,Q3,5.12,5.13,0.0012,0.0,0.12,0,0,0,0,0,0,0,0,0
2025,Q4,5.64,5.7,0.0102,0.0,1.02,0,0,0,0,0,0,0,0,0
2026,Q1,5.94,6.04,0.0168,0.0,1.68,0,0,0,0,0,0,0,0,0
