year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.46,1.84,0.2574,1.0,25.74,0,0,0,0,0,0,0,0,0
2020,Q3,1.28,1.58,0.2384,0.0,23.84,0,0,0,0,0,0,0,0,0
2020,Q4,1.8,2.33,0.2963,1.0,29.63,0,0,0,0,0,0,0,0,0
2021,Q1,2.11,2.39,0.135,0.0,13.5,0,0,0,0,0,0,0,0,0
2021,Q2,2.19,2.53,0.1537,1.0,15.37,0,0,0,0,0,0,0,0,0
2021,Q3,2.38,2.61,0.0964,1.0,9.64,0,0,0,0,0,0,0,0,0
2021,Q4,2.58,2.7,0.0475,1.0,4.75,0,0,0,0,0,0,0,0,0
2022,Q1,2.43,2.49,0.0236,1.0,2.36,0,0,0,0,0,0,0,0,0
2022,Q2,2.72,2.75,0.0125,0.0,1.25,0,0,0,0,0,0,0,0,0
2022,Q3,2.74,2.77,0.0128,0.0,1.28,0,0,0,0,0,0,0,0,0
2022,Q4,2.5,2.63,0.054,0.0,5.4,0,0,0,0,0,0,0,0,0
2023,Q1,2.75,2.98,0.0855,1.0,8.55,0,0,0,0,0,0,0,0,0
2023,Q2,2.59,2.78,0.0743,1.0,7.43,0,0,0,0,0,0,0,0,0
2023,Q3,2.64,2.69,0.0197,0.0,1.97,0,0,0,0,0,0,0,0,0
2023,Q4,2.37,2.72,0.1486,1.0,14.86,0,0,0,0,0,0,0,0,0
2024,Q1,2.4,2.46,0.024,0.0,2.4,0,0,0,0,0,0,0,0,0
2024,Q2,2.06,2.27,0.0998,0.0,9.98,0,0,0,0,0,0,0,0,0
2024,Q3,2.39,2.8,0.1697,1.0,16.97,0,0,0,0,0,0,0,0,0
2024,Q4,2.42,2.59,0.0688,1.0,6.88,0,0,0,0,0,0,0,0,0
2025,Q1,2.53,2.66,0.0524,0.0,5.24,0,0,0,0,0,0,0,0,0
2025,Q2,2.07,2.34,0.1278,0.0,12.78,0,0,0,0,0,0,0,0,0
2025,Q3,2.55,3.12,0.2245,1.0,22.45,0,0,0,0,0,0,0,0,0
2025,Q4,2.34,2.43,0.0386,1.0,3.86,0,0,0,0,0,0,0,0,0
2026,Q1,2.35,2.39,0.0191,0.0,1.91,0,0,0,0,0,0,0,0,0
