year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.23,0.24,0.0767,0.0,7.67,0,0,0,0,0,0,0,0,0
2020,Q3,0.2,0.23,0.1695,1.0,16.95,0,0,0,0,0,0,0,0,0
2020,Q4,0.21,0.23,0.092,0.0,9.2,0,0,0,0,0,0,0,0,0
2021,Q1,0.24,0.28,0.1803,1.0,18.03,0,0,0,0,0,0,0,0,0
2021,Q2,0.24,0.28,0.147,1.0,14.7,0,0,0,0,0,0,0,0,0
2021,Q3,0.23,0.26,0.14,1.0,14.0,0,0,0,0,0,0,0,0,0
2021,Q4,0.23,0.25,0.0893,0.0,8.93,0,0,0,0,0,0,0,0,0
2022,Q1,0.29,0.35,0.2046,1.0,20.46,0,0,0,0,0,0,0,0,0
2022,Q2,0.27,0.31,0.14,0.0,14.0,0,0,0,0,0,0,0,0,0
2022,Q3,0.21,0.28,0.341,1.0,34.1,0,0,0,0,0,0,0,0,0
2022,Q4,0.24,0.3,0.2529,1.0,25.29,0,0,0,0,0,0,0,0,0
2023,Q1,0.34,0.38,0.1029,0.0,10.29,0,0,0,0,0,0,0,0,0
2023,Q2,0.25,0.29,0.1375,1.0,13.75,0,0,0,0,0,0,0,0,0
2023,Q3,0.3,0.31,0.0403,1.0,4.03,0,0,0,0,0,0,0,0,0
2023,Q4,0.3,0.3,0.0139,0.0,1.39,0,0,0,0,0,0,0,0,0
2024,Q1,0.32,0.33,0.0395,0.0,3.95,0,0,0,0,0,0,0,0,0
2024,Q2,0.07,0.1,0.5186,0.0,51.86,0,0,0,0,0,0,0,0,0
2024,Q3,0.09,0.15,0.6327,1.0,63.27,0,0,0,0,0,0,0,0,0
2024,Q4,0.16,0.22,0.355,1.0,35.5,0,0,0,0,0,0,0,0,0
2025,Q1,0.23,0.26,0.1563,0.0,15.63,0,0,0,0,0,0,0,0,0
2025,Q2,0.11,0.15,0.4386,1.0,43.86,0,0,0,0,0,0,0,0,0
2025,Q3,0.14,0.17,0.234,1.0,23.4,0,0,0,0,0,0,0,0,0
2025,Q4,0.19,0.23,0.2182,1.0,21.82,0,0,0,0,0,0,0,0,0
2026,Q1,0.27,0.31,0.1382,0.0,13.82,0,0,0,0,0,0,0,0,0
