year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q3,0.54,0.7,0.2879,1.0,28.79,0,0,0,0,0,0,0,0,0
2020,Q3,0.31,0.34,0.0978,0.0,9.78,0,0,0,0,0,0,0,0,0
2020,Q4,0.55,0.59,0.0849,1.0,8.49,0,0,0,0,0,0,0,0,0
2021,Q1,0.55,0.59,0.0685,0.0,6.85,0,0,0,0,0,0,0,0,0
2021,Q3,0.69,0.78,0.1222,1.0,12.22,0,0,0,0,0,0,0,0,0
2021,Q3,0.58,0.62,0.0696,0.0,6.96,0,0,0,0,0,0,0,0,0
2021,Q4,0.66,0.69,0.0517,0.0,5.17,0,0,0,0,0,0,0,0,0
2022,Q1,0.61,0.74,0.215,1.0,21.5,0,0,0,0,0,0,0,0,0
2022,Q3,0.78,0.85,0.084,1.0,8.4,0,0,0,0,0,0,0,0,0
2022,Q3,0.67,0.7,0.0503,0.0,5.03,0,0,0,0,0,0,0,0,0
2022,Q4,0.76,0.78,0.0291,1.0,2.91,0,0,0,0,0,0,0,0,0
2023,Q1,0.76,0.79,0.0282,0.0,2.82,0,0,0,0,0,0,0,0,0
2023,Q3,0.92,0.93,0.0041,0.0,0.41,0,0,0,0,0,0,0,0,0
2023,Q3,0.8,0.83,0.0422,1.0,4.22,0,0,0,0,0,0,0,0,0
2023,Q4,0.87,0.9,0.038,0.0,3.8,0,0,0,0,0,0,0,0,0
2024,Q1,0.9,0.96,0.0714,1.0,7.14,0,0,0,0,0,0,0,0,0
2024,Q3,1.0,1.1,0.1019,1.0,10.19,0,0,0,0,0,0,0,0,0
2024,Q3,0.95,1.0,0.049,0.0,4.9,0,0,0,0,0,0,0,0,0
2024,Q4,1.02,1.09,0.0713,1.0,7.13,0,0,0,0,0,0,0,0,0
2025,Q1,1.06,1.13,0.0708,1.0,7.08,0,0,0,0,0,0,0,0,0
2025,Q3,1.2,1.2,0.0031,0.0,0.31,0,0,0,0,0,0,0,0,0
2025,Q3,1.07,1.09,0.0194,1.0,1.94,0,0,0,0,0,0,0,0,0
2025,Q4,1.2,1.21,0.0096,1.0,0.96,0,0,0,0,0,0,0,0,0
2026,Q1,1.24,1.24,0.004,0.0,0.4,0,0,0,0,0,0,0,0,0
