year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.14,0.14,0.0363,0.0,3.63,0,0,0,0,0,0,0,0,0
2020,Q3,0.02,0.05,1.5265,1.0,152.65,0,0,0,0,0,0,0,0,0
2020,Q4,0.07,0.09,0.3524,1.0,35.24,0,0,0,0,0,0,0,0,0
2021,Q1,0.2,0.26,0.278,1.0,27.8,0,0,0,0,0,0,0,0,0
2021,Q2,0.36,0.38,0.0647,1.0,6.47,0,0,0,0,0,0,0,0,0
2021,Q3,0.27,0.26,-0.0361,0.0,-3.61,0,0,0,0,0,0,0,0,0
2021,Q4,0.54,0.52,-0.0309,1.0,-3.09,0,0,0,0,0,0,0,0,0
2022,Q1,1.02,0.83,-0.1859,0.0,-18.59,0,0,0,0,0,0,0,0,0
2022,Q2,0.82,1.01,0.2321,1.0,23.21,0,0,0,0,0,0,0,0,0
2022,Q3,1.28,1.35,0.058,1.0,5.8,0,0,0,0,0,0,0,0,0
2022,Q4,1.39,1.42,0.0224,0.0,2.24,0,0,0,0,0,0,0,0,0
2023,Q1,1.1,1.16,0.059,0.0,5.9,0,0,0,0,0,0,0,0,0
2023,Q2,0.7,0.87,0.2411,1.0,24.11,0,0,0,0,0,0,0,0,0
2023,Q3,0.33,0.39,0.1762,1.0,17.62,0,0,0,0,0,0,0,0,0
2023,Q4,0.43,0.5,0.1535,1.0,15.35,0,0,0,0,0,0,0,0,0
2024,Q1,0.54,0.52,-0.0414,0.0,-4.14,0,0,0,0,0,0,0,0,0
2024,Q2,0.41,0.51,0.2372,1.0,23.72,0,0,0,0,0,0,0,0,0
2024,Q3,0.39,0.37,-0.0473,1.0,-4.73,0,0,0,0,0,0,0,0,0
2024,Q4,0.34,0.32,-0.0697,0.0,-6.97,0,0,0,0,0,0,0,0,0
2025,Q1,0.43,0.49,0.1429,1.0,14.29,0,0,0,0,0,0,0,0,0
2025,Q2,0.8,0.8,0.0055,0.0,0.55,0,0,0,0,0,0,0,0,0
2025,Q3,0.45,0.48,0.0696,1.0,6.96,0,0,0,0,0,0,0,0,0
2025,Q4,0.43,0.41,-0.0477,1.0,-4.77,0,0,0,0,0,0,0,0,0
2026,Q1,0.47,0.39,-0.1691,0.0,-16.91,0,0,0,0,0,0,0,0,0
