year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2021,Q1,-0.31,-2.27,-6.4182,0.0,-641.82,0,0,0,0,0,0,0,0,0
2021,Q2,-0.23,-0.34,-0.4542,1.0,-45.42,0,0,0,0,0,0,0,0,0
2021,Q3,-0.19,-0.3,-0.5427,0.0,-54.27,0,0,0,0,0,0,0,0,0
2021,Q4,0.1,0.43,3.3052,1.0,330.52,0,0,0,0,0,0,0,0,0
2022,Q1,0.07,-0.01,-1.1249,0.0,-112.49,0,0,0,0,0,0,0,0,0
2022,Q2,-0.41,-0.48,-0.1755,0.0,-17.55,0,0,0,0,0,0,0,0,0
2022,Q3,-0.02,0.06,3.8726,1.0,387.26,0,0,0,0,0,0,0,0,0
2022,Q4,-0.07,-0.06,0.1723,0.0,17.23,0,0,0,0,0,0,0,0,0
2023,Q2,-0.56,-0.41,0.2723,1.0,27.23,0,0,0,0,0,0,0,0,0
2023,Q3,-0.43,-0.44,-0.0265,0.0,-2.65,0,0,0,0,0,0,0,0,0
2023,Q4,0.32,0.64,0.9655,1.0,96.55,0,0,0,0,0,0,0,0,0
2024,Q1,-0.13,-0.39,-1.9726,0.0,-197.26,0,0,0,0,0,0,0,0,0
2024,Q2,0.57,0.66,0.1649,1.0,16.49,0,0,0,0,0,0,0,0,0
2024,Q3,-0.09,-0.38,-3.3503,0.0,-335.03,0,0,0,0,0,0,0,0,0
2024,Q4,0.81,1.05,0.2963,1.0,29.63,0,0,0,0,0,0,0,0,0
2025,Q1,0.94,0.89,-0.0591,0.0,-5.91,0,0,0,0,0,0,0,0,0
2025,Q2,0.97,1.07,0.1099,0.0,10.99,0,0,0,0,0,0,0,0,0
2025,Q3,0.43,0.65,0.4952,1.0,49.52,0,0,0,0,0,0,0,0,0
2025,Q4,1.25,1.28,0.0218,1.0,2.18,0,0,0,0,0,0,0,0,0
2026,Q1,0.58,0.48,-0.1773,0.0,-17.73,0,0,0,0,0,0,0,0,0
