year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.58,2.11,0.3344,0.0,33.44,0,0,0,0,0,0,0,0,0
2020,Q3,1.25,2.57,1.054,1.0,105.4,0,0,0,0,0,0,0,0,0
2020,Q4,1.34,2.39,0.7777,1.0,77.77,0,0,0,0,0,0,0,0,0
2021,Q1,2.21,3.87,0.7512,1.0,75.12,0,0,0,0,0,0,0,0,0
2021,Q2,4.59,5.68,0.2372,1.0,23.72,0,0,0,0,0,0,0,0,0
2021,Q3,4.57,5.32,0.1652,1.0,16.52,0,0,0,0,0,0,0,0,0
2021,Q4,3.89,4.12,0.0583,0.0,5.83,0,0,0,0,0,0,0,0,0
2022,Q1,2.24,2.92,0.3012,1.0,30.12,0,0,0,0,0,0,0,0,0
2022,Q2,6.69,6.81,0.0178,1.0,1.78,0,0,0,0,0,0,0,0,0
2022,Q3,6.68,6.16,-0.0774,0.0,-7.74,0,0,0,0,0,0,0,0,0
2022,Q4,7.1,7.44,0.0476,0.0,4.76,0,0,0,0,0,0,0,0,0
2023,Q1,5.45,6.55,0.2014,1.0,20.14,0,0,0,0,0,0,0,0,0
2023,Q2,8.64,9.65,0.1168,0.0,11.68,0,0,0,0,0,0,0,0,0
2023,Q3,8.18,10.2,0.2466,1.0,24.66,0,0,0,0,0,0,0,0,0
2023,Q4,7.41,8.26,0.1148,0.0,11.48,0,0,0,0,0,0,0,0,0
2024,Q1,5.21,6.23,0.1948,1.0,19.48,0,0,0,0,0,0,0,0,0
2024,Q2,7.92,8.53,0.0775,0.0,7.75,0,0,0,0,0,0,0,0,0
2024,Q3,5.79,6.29,0.0857,0.0,8.57,0,0,0,0,0,0,0,0,0
2024,Q4,3.93,4.55,0.1576,1.0,15.76,0,0,0,0,0,0,0,0,0
2025,Q1,3.26,3.19,-0.0212,0.0,-2.12,0,0,0,0,0,0,0,0,0
2025,Q2,5.64,6.64,0.1776,1.0,17.76,0,0,0,0,0,0,0,0,0
2025,Q3,4.63,4.75,0.0261,1.0,2.61,0,0,0,0,0,0,0,0,0
2025,Q4,3.83,3.93,0.025,0.0,2.5,0,0,0,0,0,0,0,0,0
2026,Q1,2.1,2.42,0.1542,0.0,15.42,0,0,0,0,0,0,0,0,0
