year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.88,0.94,0.0674,0.0,6.74,0,0,0,0,0,0,0,0,0
2020,Q3,1.25,1.42,0.1349,0.0,13.49,0,0,0,0,0,0,0,0,0
2020,Q4,3.73,4.31,0.1558,1.0,15.58,0,0,0,0,0,0,0,0,0
2021,Q1,4.24,4.48,0.057,1.0,5.7,0,0,0,0,0,0,0,0,0
2021,Q2,3.73,3.76,0.0074,0.0,0.74,0,0,0,0,0,0,0,0,0
2021,Q3,2.86,3.18,0.1111,0.0,11.11,0,0,0,0,0,0,0,0,0
2021,Q4,3.06,3.96,0.2923,1.0,29.23,0,0,0,0,0,0,0,0,0
2022,Q1,3.21,3.33,0.0379,0.0,3.79,0,0,0,0,0,0,0,0,0
2022,Q2,3.0,3.22,0.0726,1.0,7.26,0,0,0,0,0,0,0,0,0
2022,Q3,2.27,2.36,0.0391,0.0,3.91,0,0,0,0,0,0,0,0,0
2022,Q4,2.19,2.36,0.0757,1.0,7.57,0,0,0,0,0,0,0,0,0
2023,Q1,1.9,1.98,0.0397,1.0,3.97,0,0,0,0,0,0,0,0,0
2023,Q2,1.97,2.04,0.0353,1.0,3.53,0,0,0,0,0,0,0,0,0
2023,Q3,2.26,2.3,0.0187,1.0,1.87,0,0,0,0,0,0,0,0,0
2023,Q4,2.19,2.22,0.014,0.0,1.4,0,0,0,0,0,0,0,0,0
2024,Q1,2.11,2.15,0.0168,0.0,1.68,0,0,0,0,0,0,0,0,0
2024,Q2,1.86,2.04,0.0975,1.0,9.75,0,0,0,0,0,0,0,0,0
2024,Q3,2.33,2.35,0.0068,0.0,0.68,0,0,0,0,0,0,0,0,0
2024,Q4,2.26,2.3,0.019,0.0,1.9,0,0,0,0,0,0,0,0,0
2025,Q1,2.18,2.23,0.0209,0.0,2.09,0,0,0,0,0,0,0,0,0
2025,Q2,2.15,2.21,0.0278,1.0,2.78,0,0,0,0,0,0,0,0,0
2025,Q3,2.57,2.62,0.0187,0.0,1.87,0,0,0,0,0,0,0,0,0
2025,Q4,2.5,2.6,0.0385,1.0,3.85,0,0,0,0,0,0,0,0,0
2026,Q1,2.36,2.42,0.0263,0.0,2.63,0,0,0,0,0,0,0,0,0
