year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.02,1.05,0.0268,0.0,2.68,0,0,0,0,0,0,0,0,0
2020,Q3,1.09,1.44,0.3194,1.0,31.94,0,0,0,0,0,0,0,0,0
2020,Q4,1.36,1.72,0.2639,1.0,26.39,0,0,0,0,0,0,0,0,0
2021,Q1,1.88,2.08,0.109,0.0,10.9,0,0,0,0,0,0,0,0,0
2021,Q2,1.77,2.52,0.4207,1.0,42.07,0,0,0,0,0,0,0,0,0
2021,Q3,2.05,2.46,0.1999,1.0,19.99,0,0,0,0,0,0,0,0,0
2021,Q4,2.15,2.39,0.1104,1.0,11.04,0,0,0,0,0,0,0,0,0
2022,Q1,2.54,2.69,0.0599,1.0,5.99,0,0,0,0,0,0,0,0,0
2022,Q2,2.66,2.76,0.036,0.0,3.6,0,0,0,0,0,0,0,0,0
2022,Q3,2.34,2.76,0.1809,1.0,18.09,0,0,0,0,0,0,0,0,0
2022,Q4,2.25,2.56,0.1354,1.0,13.54,0,0,0,0,0,0,0,0,0
2023,Q1,2.55,2.87,0.1262,1.0,12.62,0,0,0,0,0,0,0,0,0
2023,Q2,2.26,2.36,0.0436,1.0,4.36,0,0,0,0,0,0,0,0,0
2023,Q3,2.02,2.05,0.0173,0.0,1.73,0,0,0,0,0,0,0,0,0
2023,Q4,1.88,2.02,0.0755,0.0,7.55,0,0,0,0,0,0,0,0,0
2024,Q1,1.91,2.09,0.0915,0.0,9.15,0,0,0,0,0,0,0,0,0
2024,Q2,1.71,1.92,0.1241,1.0,12.41,0,0,0,0,0,0,0,0,0
2024,Q3,1.57,1.72,0.093,1.0,9.3,0,0,0,0,0,0,0,0,0
2024,Q4,1.57,1.71,0.0894,1.0,8.94,0,0,0,0,0,0,0,0,0
2025,Q1,2.16,2.14,-0.0112,0.0,-1.12,0,0,0,0,0,0,0,0,0
2025,Q2,1.64,1.88,0.1438,1.0,14.38,0,0,0,0,0,0,0,0,0
2025,Q3,1.64,1.8,0.0949,0.0,9.49,0,0,0,0,0,0,0,0,0
2025,Q4,1.72,1.89,0.0978,1.0,9.78,0,0,0,0,0,0,0,0,0
2026,Q1,2.19,2.23,0.0199,0.0,1.99,0,0,0,0,0,0,0,0,0
