year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.9,0.6,-0.3297,0.0,-32.97,0,0,0,0,0,0,0,0,0
2020,Q3,-0.67,0.08,1.1192,1.0,111.92,0,0,0,0,0,0,0,0,0
2020,Q4,-0.65,-0.2,0.693,0.0,69.3,0,0,0,0,0,0,0,0,0
2021,Q1,-0.34,0.32,1.9477,0.0,194.77,0,0,0,0,0,0,0,0,0
2021,Q2,0.26,0.79,2.0408,1.0,204.08,0,0,0,0,0,0,0,0,0
2021,Q3,0.55,0.8,0.4548,1.0,45.48,0,0,0,0,0,0,0,0,0
2021,Q4,0.5,0.38,-0.2341,0.0,-23.41,0,0,0,0,0,0,0,0,0
2022,Q1,0.62,1.06,0.7197,1.0,71.97,0,0,0,0,0,0,0,0,0
2022,Q2,1.19,1.08,-0.0915,0.0,-9.15,0,0,0,0,0,0,0,0,0
2022,Q3,0.99,1.09,0.0999,1.0,9.99,0,0,0,0,0,0,0,0,0
2022,Q4,0.56,0.3,-0.4687,0.0,-46.87,0,0,0,0,0,0,0,0,0
2023,Q1,0.79,0.99,0.2597,1.0,25.97,0,0,0,0,0,0,0,0,0
2023,Q2,0.94,0.93,-0.0091,0.0,-0.91,0,0,0,0,0,0,0,0,0
2023,Q3,0.98,1.04,0.0677,0.0,6.77,0,0,0,0,0,0,0,0,0
2023,Q4,0.71,0.82,0.1511,0.0,15.11,0,0,0,0,0,0,0,0,0
2024,Q1,1.03,1.22,0.1824,1.0,18.24,0,0,0,0,0,0,0,0,0
2024,Q2,1.1,1.21,0.098,0.0,9.8,0,0,0,0,0,0,0,0,0
2024,Q3,1.19,1.39,0.1638,1.0,16.38,0,0,0,0,0,0,0,0,0
2024,Q4,1.11,1.14,0.0275,0.0,2.75,0,0,0,0,0,0,0,0,0
2025,Q1,1.43,1.76,0.2294,1.0,22.94,0,0,0,0,0,0,0,0,0
2025,Q2,1.21,1.45,0.1979,1.0,19.79,0,0,0,0,0,0,0,0,0
2025,Q3,1.45,1.61,0.113,1.0,11.3,0,0,0,0,0,0,0,0,0
2025,Q4,1.02,1.11,0.0842,1.0,8.42,0,0,0,0,0,0,0,0,0
2026,Q1,1.58,1.63,0.0344,0.0,3.44,0,0,0,0,0,0,0,0,0
