year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.84,1.04,0.2325,1.0,23.25,0,0,0,0,0,0,0,0,0
2020,Q3,0.94,1.1,0.1751,0.0,17.51,0,0,0,0,0,0,0,0,0
2020,Q4,1.16,1.39,0.203,1.0,20.3,0,0,0,0,0,0,0,0,0
2021,Q1,2.12,2.13,0.0052,0.0,0.52,0,0,0,0,0,0,0,0,0
2021,Q2,1.4,1.6,0.1417,0.0,14.17,0,0,0,0,0,0,0,0,0
2021,Q3,1.02,1.23,0.2116,1.0,21.16,0,0,0,0,0,0,0,0,0
2021,Q4,0.95,0.96,0.006,0.0,0.6,0,0,0,0,0,0,0,0,0
2022,Q1,1.77,2.01,0.1337,0.0,13.37,0,0,0,0,0,0,0,0,0
2022,Q2,1.98,2.37,0.1952,1.0,19.52,0,0,0,0,0,0,0,0,0
2022,Q3,1.62,1.6,-0.0126,0.0,-1.26,0,0,0,0,0,0,0,0,0
2022,Q4,1.18,1.2,0.0128,0.0,1.28,0,0,0,0,0,0,0,0,0
2023,Q1,2.0,2.04,0.0198,1.0,1.98,0,0,0,0,0,0,0,0,0
2023,Q2,1.54,1.47,-0.043,0.0,-4.3,0,0,0,0,0,0,0,0,0
2023,Q3,0.87,0.91,0.0478,1.0,4.78,0,0,0,0,0,0,0,0,0
2023,Q4,1.01,0.97,-0.0377,0.0,-3.77,0,0,0,0,0,0,0,0,0
2024,Q1,2.65,2.55,-0.0375,0.0,-3.75,0,0,0,0,0,0,0,0,0
2024,Q2,1.43,1.43,0.0008,1.0,0.08,0,0,0,0,0,0,0,0,0
2024,Q3,1.04,0.67,-0.3555,0.0,-35.55,0,0,0,0,0,0,0,0,0
2024,Q4,1.08,1.12,0.0415,0.0,4.15,0,0,0,0,0,0,0,0,0
2025,Q1,2.2,2.29,0.0415,0.0,4.15,0,0,0,0,0,0,0,0,0
2025,Q2,1.21,1.26,0.0451,0.0,4.51,0,0,0,0,0,0,0,0,0
2025,Q3,0.41,0.77,0.8765,1.0,87.65,0,0,0,0,0,0,0,0,0
2025,Q4,1.08,1.21,0.118,1.0,11.8,0,0,0,0,0,0,0,0,0
2026,Q1,2.53,2.56,0.0113,0.0,1.13,0,0,0,0,0,0,0,0,0
