year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.58,0.59,0.0114,1.0,1.14,0,0,0,0,0,0,0,0,0
2020,Q3,-0.25,-0.26,-0.0258,0.0,-2.58,0,0,0,0,0,0,0,0,0
2020,Q4,0.31,0.5,0.6381,1.0,63.81,0,0,0,0,0,0,0,0,0
2021,Q1,0.68,0.81,0.1987,1.0,19.87,0,0,0,0,0,0,0,0,0
2021,Q2,1.15,1.36,0.1843,1.0,18.43,0,0,0,0,0,0,0,0,0
2021,Q3,2.44,2.72,0.1152,1.0,11.52,0,0,0,0,0,0,0,0,0
2021,Q4,2.56,2.75,0.0726,1.0,7.26,0,0,0,0,0,0,0,0,0
2022,Q1,2.03,2.15,0.0599,0.0,5.99,0,0,0,0,0,0,0,0,0
2022,Q2,2.05,2.34,0.1413,1.0,14.13,0,0,0,0,0,0,0,0,0
2022,Q3,2.14,2.31,0.0818,1.0,8.18,0,0,0,0,0,0,0,0,0
2022,Q4,1.15,1.11,-0.0344,1.0,-3.44,0,0,0,0,0,0,0,0,0
2023,Q1,0.57,0.46,-0.1917,0.0,-19.17,0,0,0,0,0,0,0,0,0
2023,Q2,0.37,0.58,0.5513,1.0,55.13,0,0,0,0,0,0,0,0,0
2023,Q3,0.71,0.75,0.0607,0.0,6.07,0,0,0,0,0,0,0,0,0
2023,Q4,0.45,0.48,0.0705,0.0,7.05,0,0,0,0,0,0,0,0,0
2024,Q1,0.4,0.43,0.0813,0.0,8.13,0,0,0,0,0,0,0,0,0
2024,Q2,0.45,0.56,0.2319,1.0,23.19,0,0,0,0,0,0,0,0,0
2024,Q3,0.72,0.68,-0.0508,0.0,-5.08,0,0,0,0,0,0,0,0,0
2024,Q4,0.47,0.47,-0.0024,0.0,-0.24,0,0,0,0,0,0,0,0,0
2025,Q2,-0.01,0.02,2.4981,1.0,249.81,0,0,0,0,0,0,0,0,0
2025,Q3,-0.16,-0.42,-1.5632,0.0,-156.32,0,0,0,0,0,0,0,0,0
2025,Q4,-0.3,-0.19,0.3684,1.0,36.84,0,0,0,0,0,0,0,0,0
2026,Q1,-0.51,-0.34,0.337,0.0,33.7,0,0,0,0,0,0,0,0,0
