year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,-1.64,-1.24,0.2462,0.0,24.62,0,0,0,0,0,0,0,0,0
2020,Q3,0.05,0.56,9.44,1.0,944.0,0,0,0,0,0,0,0,0,0
2020,Q4,0.71,0.74,0.0376,0.0,3.76,0,0,0,0,0,0,0,0,0
2021,Q1,0.7,0.98,0.402,1.0,40.2,0,0,0,0,0,0,0,0,0
2021,Q2,1.8,2.03,0.1306,1.0,13.06,0,0,0,0,0,0,0,0,0
2021,Q3,1.65,1.76,0.0637,1.0,6.37,0,0,0,0,0,0,0,0,0
2021,Q4,1.44,1.48,0.0298,1.0,2.98,0,0,0,0,0,0,0,0,0
2022,Q1,2.1,1.93,-0.0798,0.0,-7.98,0,0,0,0,0,0,0,0,0
2022,Q2,2.21,2.27,0.0271,1.0,2.71,0,0,0,0,0,0,0,0,0
2022,Q3,1.56,1.53,-0.0212,0.0,-2.12,0,0,0,0,0,0,0,0,0
2022,Q4,1.44,1.52,0.0585,1.0,5.85,0,0,0,0,0,0,0,0,0
2023,Q1,2.24,2.36,0.0522,1.0,5.22,0,0,0,0,0,0,0,0,0
2023,Q2,2.53,2.6,0.027,1.0,2.7,0,0,0,0,0,0,0,0,0
2023,Q3,1.74,1.78,0.0244,0.0,2.44,0,0,0,0,0,0,0,0,0
2023,Q4,1.73,1.84,0.062,1.0,6.2,0,0,0,0,0,0,0,0,0
2024,Q1,2.62,2.62,-0.0002,0.0,-0.02,0,0,0,0,0,0,0,0,0
2024,Q2,2.61,2.65,0.0158,1.0,1.58,0,0,0,0,0,0,0,0,0
2024,Q3,1.83,1.75,-0.0452,0.0,-4.52,0,0,0,0,0,0,0,0,0
2024,Q4,2.02,2.03,0.0035,1.0,0.35,0,0,0,0,0,0,0,0,0
2025,Q1,2.8,2.8,0.0017,0.0,0.17,0,0,0,0,0,0,0,0,0
2025,Q2,2.97,2.98,0.0044,1.0,0.44,0,0,0,0,0,0,0,0,0
2025,Q3,2.01,1.97,-0.0205,0.0,-2.05,0,0,0,0,0,0,0,0,0
2025,Q4,2.1,2.08,-0.0082,0.0,-0.82,0,0,0,0,0,0,0,0,0
2026,Q1,2.94,2.95,0.0029,0.0,0.29,0,0,0,0,0,0,0,0,0
