year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.18,1.14,-0.037,0.0,-3.7,0,0,0,0,0,0,0,0,0
2020,Q3,1.05,1.08,0.0287,0.0,2.87,0,0,0,0,0,0,0,0,0
2020,Q4,1.8,1.87,0.0408,1.0,4.08,0,0,0,0,0,0,0,0,0
2021,Q1,1.03,1.03,0.0029,0.0,0.29,0,0,0,0,0,0,0,0,0
2021,Q2,1.21,1.26,0.0426,1.0,4.26,0,0,0,0,0,0,0,0,0
2021,Q3,1.11,1.15,0.038,0.0,3.8,0,0,0,0,0,0,0,0,0
2021,Q4,1.8,1.88,0.0435,1.0,4.35,0,0,0,0,0,0,0,0,0
2022,Q1,0.96,0.94,-0.0249,0.0,-2.49,0,0,0,0,0,0,0,0,0
2022,Q2,1.33,1.3,-0.0218,0.0,-2.18,0,0,0,0,0,0,0,0,0
2022,Q3,1.08,1.14,0.0544,1.0,5.44,0,0,0,0,0,0,0,0,0
2022,Q4,1.85,1.78,-0.0364,0.0,-3.64,0,0,0,0,0,0,0,0,0
2023,Q1,1.07,1.11,0.0387,1.0,3.87,0,0,0,0,0,0,0,0,0
2023,Q2,1.26,1.2,-0.049,1.0,-4.9,0,0,0,0,0,0,0,0,0
2023,Q3,0.98,0.91,-0.0761,0.0,-7.61,0,0,0,0,0,0,0,0,0
2023,Q4,1.92,1.94,0.0128,1.0,1.28,0,0,0,0,0,0,0,0,0
2024,Q1,1.54,1.51,-0.0179,0.0,-1.79,0,0,0,0,0,0,0,0,0
2024,Q2,1.38,1.44,0.0454,0.0,4.54,0,0,0,0,0,0,0,0,0
2024,Q3,1.02,1.18,0.1546,1.0,15.46,0,0,0,0,0,0,0,0,0
2024,Q4,1.72,1.62,-0.0568,0.0,-5.68,0,0,0,0,0,0,0,0,0
2025,Q1,1.65,1.66,0.0071,0.0,0.71,0,0,0,0,0,0,0,0,0
2025,Q2,1.59,1.76,0.1084,1.0,10.84,0,0,0,0,0,0,0,0,0
2025,Q3,1.17,1.25,0.0642,1.0,6.42,0,0,0,0,0,0,0,0,0
2025,Q4,1.75,1.81,0.0345,1.0,3.45,0,0,0,0,0,0,0,0,0
2026,Q1,1.49,1.5,0.0049,0.0,0.49,0,0,0,0,0,0,0,0,0
