year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,-0.2,0.13,1.665,1.0,166.5,0,0,0,0,0,0,0,0,0
2020,Q3,-0.26,-0.18,0.3198,0.0,31.98,0,0,0,0,0,0,0,0,0
2020,Q4,-0.1,-0.07,0.3291,0.0,32.91,0,0,0,0,0,0,0,0,0
2021,Q2,0.32,0.45,0.4028,1.0,40.28,0,0,0,0,0,0,0,0,0
2021,Q3,0.53,0.6,0.137,0.0,13.7,0,0,0,0,0,0,0,0,0
2021,Q4,0.93,1.08,0.1647,1.0,16.47,0,0,0,0,0,0,0,0,0
2022,Q1,1.24,1.39,0.1223,1.0,12.23,0,0,0,0,0,0,0,0,0
2022,Q2,1.76,1.88,0.0698,0.0,6.98,0,0,0,0,0,0,0,0,0
2022,Q3,2.37,2.59,0.0912,1.0,9.12,0,0,0,0,0,0,0,0,0
2022,Q4,2.13,2.18,0.0238,1.0,2.38,0,0,0,0,0,0,0,0,0
2023,Q1,1.75,1.66,-0.0532,0.0,-5.32,0,0,0,0,0,0,0,0,0
2023,Q2,1.4,1.46,0.0426,1.0,4.26,0,0,0,0,0,0,0,0,0
2023,Q3,1.19,1.18,-0.0072,0.0,-0.72,0,0,0,0,0,0,0,0,0
2023,Q4,1.55,1.65,0.0615,1.0,6.15,0,0,0,0,0,0,0,0,0
2024,Q1,1.4,1.41,0.0051,0.0,0.51,0,0,0,0,0,0,0,0,0
2024,Q2,1.11,1.16,0.0417,0.0,4.17,0,0,0,0,0,0,0,0,0
2024,Q3,1.27,1.41,0.1125,1.0,11.25,0,0,0,0,0,0,0,0,0
2024,Q4,1.1,1.1,0.0039,0.0,0.39,0,0,0,0,0,0,0,0,0
2025,Q1,1.0,1.16,0.1569,1.0,15.69,0,0,0,0,0,0,0,0,0
2025,Q2,1.23,1.21,-0.0146,1.0,-1.46,0,0,0,0,0,0,0,0,0
2025,Q3,0.86,0.84,-0.0284,0.0,-2.84,0,0,0,0,0,0,0,0,0
2025,Q4,0.94,1.04,0.1056,1.0,10.56,0,0,0,0,0,0,0,0,0
2026,Q1,0.83,0.82,-0.0081,0.0,-0.81,0,0,0,0,0,0,0,0,0
