year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.11,1.43,0.2907,1.0,29.07,0,0,0,0,0,0,0,0,0
2020,Q3,1.04,1.25,0.1967,1.0,19.67,0,0,0,0,0,0,0,0,0
2020,Q4,0.04,0.05,0.1243,1.0,12.43,0,0,0,0,0,0,0,0,0
2021,Q1,0.78,0.72,-0.0784,1.0,-7.84,0,0,0,0,0,0,0,0,0
2021,Q2,0.28,0.26,-0.0826,0.0,-8.26,0,0,0,0,0,0,0,0,0
2021,Q3,0.39,0.71,0.8259,1.0,82.59,0,0,0,0,0,0,0,0,0
2021,Q4,0.57,1.02,0.7979,0.0,79.79,0,0,0,0,0,0,0,0,0
2022,Q1,0.05,0.23,3.691,1.0,369.1,0,0,0,0,0,0,0,0,0
2022,Q2,0.63,0.8,0.2705,1.0,27.05,0,0,0,0,0,0,0,0,0
2022,Q3,0.95,1.11,0.165,1.0,16.5,0,0,0,0,0,0,0,0,0
2022,Q4,1.0,1.07,0.0715,0.0,7.15,0,0,0,0,0,0,0,0,0
2023,Q1,0.5,0.73,0.4597,1.0,45.97,0,0,0,0,0,0,0,0,0
2023,Q2,1.31,1.78,0.3522,0.0,35.22,0,0,0,0,0,0,0,0,0
2023,Q3,1.09,1.47,0.3541,0.0,35.41,0,0,0,0,0,0,0,0,0
2023,Q4,0.89,1.47,0.6433,1.0,64.33,0,0,0,0,0,0,0,0,0
2024,Q1,0.88,1.07,0.2186,1.0,21.86,0,0,0,0,0,0,0,0,0
2024,Q2,1.52,1.18,-0.2183,0.0,-21.83,0,0,0,0,0,0,0,0,0
2024,Q3,0.88,1.04,0.1821,0.0,18.21,0,0,0,0,0,0,0,0,0
2024,Q4,0.89,1.11,0.2488,1.0,24.88,0,0,0,0,0,0,0,0,0
2025,Q1,1.08,1.11,0.03,0.0,3.0,0,0,0,0,0,0,0,0,0
2025,Q2,0.91,0.98,0.082,0.0,8.2,0,0,0,0,0,0,0,0,0
2025,Q3,0.63,0.79,0.2575,1.0,25.75,0,0,0,0,0,0,0,0,0
2025,Q4,1.3,1.21,-0.0703,1.0,-7.03,0,0,0,0,0,0,0,0,0
2026,Q1,1.48,0.35,-0.764,0.0,-76.4,0,0,0,0,0,0,0,0,0
