year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.75,0.89,0.1914,0.0,19.14,0,0,0,0,0,0,0,0,0
2020,Q3,0.59,0.8,0.3599,1.0,35.99,0,0,0,0,0,0,0,0,0
2020,Q4,0.94,1.1,0.1658,0.0,16.58,0,0,0,0,0,0,0,0,0
2021,Q1,0.68,0.83,0.2201,1.0,22.01,0,0,0,0,0,0,0,0,0
2021,Q2,0.9,0.97,0.0762,0.0,7.62,0,0,0,0,0,0,0,0,0
2021,Q3,0.97,1.09,0.1191,1.0,11.91,0,0,0,0,0,0,0,0,0
2021,Q4,1.18,1.21,0.0255,0.0,2.55,0,0,0,0,0,0,0,0,0
2022,Q1,1.01,1.05,0.0435,0.0,4.35,0,0,0,0,0,0,0,0,0
2022,Q2,1.18,1.29,0.0961,1.0,9.61,0,0,0,0,0,0,0,0,0
2022,Q3,1.29,1.38,0.0666,0.0,6.66,0,0,0,0,0,0,0,0,0
2022,Q4,1.39,1.53,0.1001,1.0,10.01,0,0,0,0,0,0,0,0,0
2023,Q1,0.87,0.78,-0.1061,0.0,-10.61,0,0,0,0,0,0,0,0,0
2023,Q2,0.97,1.09,0.1218,0.0,12.18,0,0,0,0,0,0,0,0,0
2023,Q3,1.1,1.29,0.1692,1.0,16.92,0,0,0,0,0,0,0,0,0
2023,Q4,1.31,1.29,-0.0137,0.0,-1.37,0,0,0,0,0,0,0,0,0
2024,Q1,1.04,1.22,0.1709,1.0,17.09,0,0,0,0,0,0,0,0,0
2024,Q2,1.25,1.36,0.0847,1.0,8.47,0,0,0,0,0,0,0,0,0
2024,Q3,1.41,1.43,0.0112,1.0,1.12,0,0,0,0,0,0,0,0,0
2024,Q4,1.47,1.48,0.0069,0.0,0.69,0,0,0,0,0,0,0,0,0
2025,Q1,1.28,1.38,0.0803,1.0,8.03,0,0,0,0,0,0,0,0,0
2025,Q2,1.41,1.48,0.046,1.0,4.6,0,0,0,0,0,0,0,0,0
2025,Q3,1.51,1.52,0.0069,1.0,0.69,0,0,0,0,0,0,0,0,0
2025,Q4,1.62,1.62,0.0028,0.0,0.28,0,0,0,0,0,0,0,0,0
2026,Q1,1.41,1.46,0.0339,0.0,3.39,0,0,0,0,0,0,0,0,0
