year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.81,1.38,-0.2381,0.0,-23.81,0,0,0,0,0,0,0,0,0
2020,Q3,1.63,1.52,-0.0683,1.0,-6.83,0,0,0,0,0,0,0,0,0
2020,Q4,1.71,0.74,-0.5664,1.0,-56.64,0,0,0,0,0,0,0,0,0
2021,Q1,1.5,0.57,-0.6199,0.0,-61.99,0,0,0,0,0,0,0,0,0
2021,Q2,1.75,1.74,-0.0084,1.0,-0.84,0,0,0,0,0,0,0,0,0
2021,Q3,1.84,0.76,-0.5868,0.0,-58.68,0,0,0,0,0,0,0,0,0
2021,Q4,1.6,1.68,0.0493,1.0,4.93,0,0,0,0,0,0,0,0,0
2022,Q1,1.42,1.36,-0.0422,0.0,-4.22,0,0,0,0,0,0,0,0,0
2022,Q2,1.62,1.62,-0.001,0.0,-0.1,0,0,0,0,0,0,0,0,0
2022,Q3,1.83,2.37,0.298,1.0,29.8,0,0,0,0,0,0,0,0,0
2022,Q4,1.79,2.3,0.2824,1.0,28.24,0,0,0,0,0,0,0,0,0
2023,Q1,1.72,1.39,-0.1922,0.0,-19.22,0,0,0,0,0,0,0,0,0
2023,Q2,2.17,2.77,0.2738,1.0,27.38,0,0,0,0,0,0,0,0,0
2023,Q3,2.11,2.21,0.049,0.0,4.9,0,0,0,0,0,0,0,0,0
2023,Q4,2.2,2.93,0.3324,1.0,33.24,0,0,0,0,0,0,0,0,0
2024,Q1,2.17,2.4,0.105,1.0,10.5,0,0,0,0,0,0,0,0,0
2024,Q2,2.64,2.43,-0.0793,0.0,-7.93,0,0,0,0,0,0,0,0,0
2024,Q3,2.7,3.16,0.1683,1.0,16.83,0,0,0,0,0,0,0,0,0
2024,Q4,2.96,3.1,0.0461,0.0,4.61,0,0,0,0,0,0,0,0,0
2025,Q1,2.74,2.97,0.0844,0.0,8.44,0,0,0,0,0,0,0,0,0
2025,Q2,2.97,3.59,0.2082,1.0,20.82,0,0,0,0,0,0,0,0,0
2025,Q3,3.44,3.79,0.103,0.0,10.3,0,0,0,0,0,0,0,0,0
2025,Q4,3.43,3.89,0.1315,1.0,13.15,0,0,0,0,0,0,0,0,0
2026,Q1,3.88,3.37,-0.1302,0.0,-13.02,0,0,0,0,0,0,0,0,0
