year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,,0.14,32.3333,1.0,3233.33,0,0,0,0,0,0,0,0,0
2020,Q3,-0.14,-0.18,-0.2993,0.0,-29.93,0,0,0,0,0,0,0,0,0
2020,Q4,-0.27,-0.15,0.4432,0.0,44.32,0,0,0,0,0,0,0,0,0
2021,Q1,-0.27,-0.02,0.926,1.0,92.6,0,0,0,0,0,0,0,0,0
2021,Q2,0.27,0.3,0.1225,0.0,12.25,0,0,0,0,0,0,0,0,0
2021,Q3,0.05,0.07,0.4894,0.0,48.94,0,0,0,0,0,0,0,0,0
2021,Q4,-0.05,0.12,3.6224,1.0,362.24,0,0,0,0,0,0,0,0,0
2022,Q1,0.53,0.41,-0.2293,0.0,-22.93,0,0,0,0,0,0,0,0,0
2022,Q2,0.92,0.81,-0.1237,0.0,-12.37,0,0,0,0,0,0,0,0,0
2022,Q3,0.8,0.83,0.044,1.0,4.4,0,0,0,0,0,0,0,0,0
2022,Q4,1.05,1.04,-0.0125,1.0,-1.25,0,0,0,0,0,0,0,0,0
2023,Q1,0.52,0.42,-0.1851,0.0,-18.51,0,0,0,0,0,0,0,0,0
2023,Q2,1.3,1.7,0.3041,0.0,30.41,0,0,0,0,0,0,0,0,0
2023,Q3,-0.27,-0.17,0.3639,0.0,36.39,0,0,0,0,0,0,0,0,0
2023,Q4,-0.1,0.3,3.951,1.0,395.1,0,0,0,0,0,0,0,0,0
2024,Q1,0.47,0.48,0.018,0.0,1.8,0,0,0,0,0,0,0,0,0
2024,Q2,0.66,0.82,0.2457,0.0,24.57,0,0,0,0,0,0,0,0,0
2024,Q3,-0.18,-0.08,0.5573,0.0,55.73,0,0,0,0,0,0,0,0,0
2024,Q4,0.07,0.12,0.7717,1.0,77.17,0,0,0,0,0,0,0,0,0
2025,Q1,0.53,0.69,0.3127,1.0,31.27,0,0,0,0,0,0,0,0,0
2025,Q2,1.01,1.18,0.1657,1.0,16.57,0,0,0,0,0,0,0,0,0
2025,Q3,0.41,0.45,0.1001,0.0,10.01,0,0,0,0,0,0,0,0,0
2025,Q4,0.36,0.52,0.4279,1.0,42.79,0,0,0,0,0,0,0,0,0
2026,Q1,0.76,0.9,0.1766,0.0,17.66,0,0,0,0,0,0,0,0,0
