year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.42,0.41,-0.018,0.0,-1.8,0,0,0,0,0,0,0,0,0
2020,Q3,0.68,0.68,0.0049,0.0,0.49,0,0,0,0,0,0,0,0,0
2020,Q4,1.56,1.73,0.1113,1.0,11.13,0,0,0,0,0,0,0,0,0
2021,Q1,0.25,0.22,-0.1138,0.0,-11.38,0,0,0,0,0,0,0,0,0
2021,Q2,0.49,0.55,0.134,0.0,13.4,0,0,0,0,0,0,0,0,0
2021,Q3,0.73,0.85,0.1644,1.0,16.44,0,0,0,0,0,0,0,0,0
2021,Q4,1.77,1.98,0.1179,1.0,11.79,0,0,0,0,0,0,0,0,0
2022,Q1,0.15,0.16,0.0943,1.0,9.43,0,0,0,0,0,0,0,0,0
2022,Q2,0.55,0.58,0.0478,1.0,4.78,0,0,0,0,0,0,0,0,0
2022,Q3,0.84,0.86,0.0259,0.0,2.59,0,0,0,0,0,0,0,0,0
2022,Q4,1.89,2.01,0.0654,0.0,6.54,0,0,0,0,0,0,0,0,0
2023,Q1,0.27,0.3,0.1292,1.0,12.92,0,0,0,0,0,0,0,0,0
2023,Q2,0.58,0.59,0.0172,0.0,1.72,0,0,0,0,0,0,0,0,0
2023,Q3,0.77,0.81,0.0497,1.0,4.97,0,0,0,0,0,0,0,0,0
2023,Q4,1.84,1.88,0.0198,1.0,1.98,0,0,0,0,0,0,0,0,0
2024,Q1,0.28,0.27,-0.0234,1.0,-2.34,0,0,0,0,0,0,0,0,0
2024,Q2,0.64,0.54,-0.1515,0.0,-15.15,0,0,0,0,0,0,0,0,0
2024,Q3,0.89,0.9,0.0059,0.0,0.59,0,0,0,0,0,0,0,0,0
2024,Q4,1.94,2.02,0.0436,1.0,4.36,0,0,0,0,0,0,0,0,0
2025,Q1,0.37,0.35,-0.0653,1.0,-6.53,0,0,0,0,0,0,0,0,0
2025,Q2,0.63,0.54,-0.1467,0.0,-14.67,0,0,0,0,0,0,0,0,0
2025,Q3,0.77,0.82,0.0595,1.0,5.95,0,0,0,0,0,0,0,0,0
2025,Q4,2.1,2.03,-0.0335,1.0,-3.35,0,0,0,0,0,0,0,0,0
2026,Q1,0.55,0.42,-0.2426,0.0,-24.26,0,0,0,0,0,0,0,0,0
