year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2021,Q1,12.83,20.13,0.5694,1.0,56.94,0,0,0,0,0,0,0,0,0
2021,Q2,1.85,2.71,0.4629,1.0,46.29,0,0,0,0,0,0,0,0,0
2021,Q3,1.18,1.64,0.3957,0.0,39.57,0,0,0,0,0,0,0,0,0
2021,Q4,1.68,2.38,0.4147,1.0,41.47,0,0,0,0,0,0,0,0,0
2022,Q1,2.48,2.39,-0.0369,0.0,-3.69,0,0,0,0,0,0,0,0,0
2022,Q2,2.43,3.09,0.2693,0.0,26.93,0,0,0,0,0,0,0,0,0
2022,Q3,3.75,4.87,0.2997,1.0,29.97,0,0,0,0,0,0,0,0,0
2022,Q4,4.48,5.06,0.1306,0.0,13.06,0,0,0,0,0,0,0,0,0
2023,Q1,2.89,4.22,0.4604,1.0,46.04,0,0,0,0,0,0,0,0,0
2023,Q2,1.69,1.87,0.1059,0.0,10.59,0,0,0,0,0,0,0,0,0
2023,Q3,0.39,0.64,0.6314,0.0,63.14,0,0,0,0,0,0,0,0,0
2023,Q4,0.59,1.09,0.8372,0.0,83.72,0,0,0,0,0,0,0,0,0
2024,Q1,0.7,1.31,0.8845,1.0,88.45,0,0,0,0,0,0,0,0,0
2024,Q2,0.61,0.56,-0.076,0.0,-7.6,0,0,0,0,0,0,0,0,0
2024,Q3,-0.02,0.01,1.6301,0.0,163.01,0,0,0,0,0,0,0,0,0
2024,Q4,-0.06,0.16,3.7142,1.0,371.42,0,0,0,0,0,0,0,0,0
2025,Q1,0.47,0.55,0.1754,1.0,17.54,0,0,0,0,0,0,0,0,0
2025,Q2,1.87,2.02,0.0803,1.0,8.03,0,0,0,0,0,0,0,0,0
2025,Q3,1.15,1.1,-0.0414,0.0,-4.14,0,0,0,0,0,0,0,0,0
2025,Q4,0.85,0.97,0.1422,1.0,14.22,0,0,0,0,0,0,0,0,0
2026,Q1,1.89,2.0,0.0585,0.0,5.85,0,0,0,0,0,0,0,0,0
