year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.62,0.71,0.1522,0.0,15.22,0,0,0,0,0,0,0,0,0
2020,Q3,0.68,1.09,0.6046,1.0,60.46,0,0,0,0,0,0,0,0,0
2020,Q4,0.99,1.12,0.1268,1.0,12.68,0,0,0,0,0,0,0,0,0
2021,Q1,1.09,1.16,0.0607,0.0,6.07,0,0,0,0,0,0,0,0,0
2021,Q2,1.06,1.67,0.575,1.0,57.5,0,0,0,0,0,0,0,0,0
2021,Q3,1.67,1.84,0.0996,0.0,9.96,0,0,0,0,0,0,0,0,0
2021,Q4,1.81,2.09,0.1576,0.0,15.76,0,0,0,0,0,0,0,0,0
2022,Q1,2.09,2.66,0.2747,1.0,27.47,0,0,0,0,0,0,0,0,0
2022,Q2,1.79,2.07,0.1552,1.0,15.52,0,0,0,0,0,0,0,0,0
2022,Q3,2.14,2.27,0.06,0.0,6.0,0,0,0,0,0,0,0,0,0
2022,Q4,1.99,2.54,0.2775,1.0,27.75,0,0,0,0,0,0,0,0,0
2023,Q1,1.97,1.38,-0.2987,0.0,-29.87,0,0,0,0,0,0,0,0,0
2023,Q2,1.33,1.47,0.1024,1.0,10.24,0,0,0,0,0,0,0,0,0
2023,Q3,1.36,1.3,-0.041,1.0,-4.1,0,0,0,0,0,0,0,0,0
2023,Q4,1.28,1.16,-0.0945,1.0,-9.45,0,0,0,0,0,0,0,0,0
2024,Q1,1.22,1.09,-0.1064,0.0,-10.64,0,0,0,0,0,0,0,0,0
2024,Q2,1.07,1.17,0.0921,1.0,9.21,0,0,0,0,0,0,0,0,0
2024,Q3,1.26,1.24,-0.016,0.0,-1.6,0,0,0,0,0,0,0,0,0
2024,Q4,1.33,1.63,0.2302,1.0,23.02,0,0,0,0,0,0,0,0,0
2025,Q1,1.44,1.68,0.1674,1.0,16.74,0,0,0,0,0,0,0,0,0
2025,Q2,1.35,1.47,0.0908,1.0,9.08,0,0,0,0,0,0,0,0,0
2025,Q3,1.24,1.34,0.0788,0.0,7.88,0,0,0,0,0,0,0,0,0
2025,Q4,1.39,1.64,0.1806,1.0,18.06,0,0,0,0,0,0,0,0,0
2026,Q1,1.46,1.49,0.0194,0.0,1.94,0,0,0,0,0,0,0,0,0
