year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,-1.36,-1.83,-0.3487,0.0,-34.87,0,0,0,0,0,0,0,0,0
2020,Q3,-3.32,-4.09,-0.2327,0.0,-23.27,0,0,0,0,0,0,0,0,0
2020,Q4,-0.79,-0.22,0.7216,1.0,72.16,0,0,0,0,0,0,0,0,0
2021,Q1,-1.91,-2.64,-0.3803,0.0,-38.03,0,0,0,0,0,0,0,0,0
2021,Q2,-2.28,-2.02,0.1146,1.0,11.46,0,0,0,0,0,0,0,0,0
2021,Q3,-0.6,-1.13,-0.8688,0.0,-86.88,0,0,0,0,0,0,0,0,0
2021,Q4,1.76,3.53,1.0024,1.0,100.24,0,0,0,0,0,0,0,0,0
2022,Q1,0.65,1.06,0.6302,1.0,63.02,0,0,0,0,0,0,0,0,0
2022,Q2,-0.46,-0.47,-0.0135,0.0,-1.35,0,0,0,0,0,0,0,0,0
2022,Q3,1.59,1.96,0.236,1.0,23.6,0,0,0,0,0,0,0,0,0
2022,Q4,4.13,4.05,-0.0194,1.0,-1.94,0,0,0,0,0,0,0,0,0
2023,Q1,1.69,1.26,-0.2528,1.0,-25.28,0,0,0,0,0,0,0,0,0
2023,Q2,0.03,-0.2,-6.9791,0.0,-697.91,0,0,0,0,0,0,0,0,0
2023,Q3,2.36,2.89,0.2222,1.0,22.22,0,0,0,0,0,0,0,0,0
2023,Q4,5.0,5.41,0.0823,1.0,8.23,0,0,0,0,0,0,0,0,0
2024,Q1,1.7,1.72,0.0141,0.0,1.41,0,0,0,0,0,0,0,0,0
2024,Q2,-0.17,0.21,2.2391,1.0,223.91,0,0,0,0,0,0,0,0,0
2024,Q3,3.16,3.51,0.109,1.0,10.9,0,0,0,0,0,0,0,0,0
2024,Q4,6.12,6.13,0.0017,0.0,0.17,0,0,0,0,0,0,0,0,0
2025,Q1,2.1,2.39,0.1397,1.0,13.97,0,0,0,0,0,0,0,0,0
2025,Q2,0.36,0.4,0.1149,1.0,11.49,0,0,0,0,0,0,0,0,0
2025,Q3,4.13,4.24,0.0262,0.0,2.62,0,0,0,0,0,0,0,0,0
2025,Q4,6.95,7.57,0.0899,0.0,8.99,0,0,0,0,0,0,0,0,0
2026,Q1,3.37,3.78,0.1221,0.0,12.21,0,0,0,0,0,0,0,0,0
