year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.76,0.83,0.0916,0.0,9.16,0,0,0,0,0,0,0,0,0
2020,Q3,0.71,0.8,0.1207,1.0,12.07,0,0,0,0,0,0,0,0,0
2020,Q4,0.82,0.88,0.0688,0.0,6.88,0,0,0,0,0,0,0,0,0
2021,Q1,0.92,1.19,0.2973,1.0,29.73,0,0,0,0,0,0,0,0,0
2021,Q2,1.02,1.0,-0.0151,0.0,-1.51,0,0,0,0,0,0,0,0,0
2021,Q3,1.08,1.15,0.0639,0.0,6.39,0,0,0,0,0,0,0,0,0
2021,Q4,1.24,1.4,0.1292,0.0,12.92,0,0,0,0,0,0,0,0,0
2022,Q1,1.4,2.0,0.4295,1.0,42.95,0,0,0,0,0,0,0,0,0
2022,Q2,1.33,1.44,0.0787,0.0,7.87,0,0,0,0,0,0,0,0,0
2022,Q3,1.47,1.63,0.1089,1.0,10.89,0,0,0,0,0,0,0,0,0
2022,Q4,1.58,1.65,0.0465,1.0,4.65,0,0,0,0,0,0,0,0,0
2023,Q1,1.46,1.52,0.0376,0.0,3.76,0,0,0,0,0,0,0,0,0
2023,Q2,1.4,1.46,0.0435,1.0,4.35,0,0,0,0,0,0,0,0,0
2023,Q3,1.5,1.5,-0.0029,0.0,-0.29,0,0,0,0,0,0,0,0,0
2023,Q4,0.94,1.23,0.3076,1.0,30.76,0,0,0,0,0,0,0,0,0
2024,Q1,1.19,1.04,-0.1297,0.0,-12.97,0,0,0,0,0,0,0,0,0
2024,Q2,0.99,1.01,0.0177,1.0,1.77,0,0,0,0,0,0,0,0,0
2024,Q3,1.02,0.88,-0.1386,1.0,-13.86,0,0,0,0,0,0,0,0,0
2024,Q4,1.1,0.91,-0.1744,0.0,-17.44,0,0,0,0,0,0,0,0,0
2025,Q1,1.07,1.24,0.1559,0.0,15.59,0,0,0,0,0,0,0,0,0
2025,Q2,1.03,1.28,0.2462,1.0,24.62,0,0,0,0,0,0,0,0,0
2025,Q3,1.18,1.18,-0.0022,1.0,-0.22,0,0,0,0,0,0,0,0,0
2025,Q4,1.19,0.78,-0.3422,0.0,-34.22,0,0,0,0,0,0,0,0,0
2026,Q1,1.15,1.36,0.1789,0.0,17.89,0,0,0,0,0,0,0,0,0
