year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.17,0.18,0.013,0.0,1.3,0,0,0,0,0,0,0,0,0
2020,Q3,0.18,0.21,0.1427,1.0,14.27,0,0,0,0,0,0,0,0,0
2020,Q4,0.19,0.19,0.0137,0.0,1.37,0,0,0,0,0,0,0,0,0
2021,Q1,0.17,0.17,0.0293,1.0,2.93,0,0,0,0,0,0,0,0,0
2021,Q2,0.18,0.19,0.0078,0.0,0.78,0,0,0,0,0,0,0,0,0
2021,Q3,0.21,0.21,0.0125,1.0,1.25,0,0,0,0,0,0,0,0,0
2021,Q4,0.21,0.21,0.0108,0.0,1.08,0,0,0,0,0,0,0,0,0
2022,Q1,0.19,0.2,0.0723,1.0,7.23,0,0,0,0,0,0,0,0,0
2022,Q2,0.22,0.24,0.0447,1.0,4.47,0,0,0,0,0,0,0,0,0
2022,Q3,0.25,0.25,0.0105,0.0,1.05,0,0,0,0,0,0,0,0,0
2022,Q4,0.24,0.25,0.035,1.0,3.5,0,0,0,0,0,0,0,0,0
2023,Q1,0.21,0.22,0.0265,0.0,2.65,0,0,0,0,0,0,0,0,0
2023,Q2,0.25,0.26,0.0311,1.0,3.11,0,0,0,0,0,0,0,0,0
2023,Q3,0.26,0.26,-0.0079,0.0,-0.79,0,0,0,0,0,0,0,0,0
2023,Q4,0.25,0.26,0.0349,1.0,3.49,0,0,0,0,0,0,0,0,0
2024,Q1,0.22,0.23,0.0226,1.0,2.26,0,0,0,0,0,0,0,0,0
2024,Q2,0.26,0.26,-0.0188,0.0,-1.88,0,0,0,0,0,0,0,0,0
2024,Q3,0.25,0.26,0.0015,0.0,0.15,0,0,0,0,0,0,0,0,0
2024,Q4,0.26,0.26,0.01,1.0,1.0,0,0,0,0,0,0,0,0,0
2025,Q1,0.24,0.23,-0.0383,0.0,-3.83,0,0,0,0,0,0,0,0,0
2025,Q2,0.26,0.26,0.0005,0.0,0.05,0,0,0,0,0,0,0,0,0
2025,Q3,0.27,0.29,0.0833,1.0,8.33,0,0,0,0,0,0,0,0,0
2025,Q4,0.3,0.29,-0.022,0.0,-2.2,0,0,0,0,0,0,0,0,0
2026,Q1,0.26,0.26,0.0054,0.0,0.54,0,0,0,0,0,0,0,0,0
