year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.99,2.23,0.1203,1.0,12.03,0,0,0,0,0,0,0,0,0
2020,Q3,2.04,2.18,0.0709,1.0,7.09,0,0,0,0,0,0,0,0,0
2020,Q4,2.37,2.43,0.0237,0.0,2.37,0,0,0,0,0,0,0,0,0
2021,Q1,2.46,2.59,0.0539,1.0,5.39,0,0,0,0,0,0,0,0,0
2021,Q2,2.4,2.5,0.0436,0.0,4.36,0,0,0,0,0,0,0,0,0
2021,Q3,2.46,2.76,0.1225,1.0,12.25,0,0,0,0,0,0,0,0,0
2021,Q4,2.75,3.01,0.0947,1.0,9.47,0,0,0,0,0,0,0,0,0
2022,Q1,2.78,2.89,0.0381,0.0,3.81,0,0,0,0,0,0,0,0,0
2022,Q2,2.01,2.13,0.0574,0.0,5.74,0,0,0,0,0,0,0,0,0
2022,Q3,2.23,2.57,0.1508,1.0,15.08,0,0,0,0,0,0,0,0,0
2022,Q4,2.51,2.62,0.0443,0.0,4.43,0,0,0,0,0,0,0,0,0
2023,Q1,2.33,2.47,0.0602,1.0,6.02,0,0,0,0,0,0,0,0,0
2023,Q2,2.42,2.53,0.0434,0.0,4.34,0,0,0,0,0,0,0,0,0
2023,Q3,2.86,3.21,0.1231,1.0,12.31,0,0,0,0,0,0,0,0,0
2023,Q4,3.21,3.5,0.0908,0.0,9.08,0,0,0,0,0,0,0,0,0
2024,Q1,3.04,3.43,0.1295,1.0,12.95,0,0,0,0,0,0,0,0,0
2024,Q2,2.87,2.91,0.0146,0.0,1.46,0,0,0,0,0,0,0,0,0
2024,Q3,2.97,3.36,0.1308,1.0,13.08,0,0,0,0,0,0,0,0,0
2024,Q4,3.45,3.67,0.0641,0.0,6.41,0,0,0,0,0,0,0,0,0
2025,Q1,3.38,3.84,0.1367,1.0,13.67,0,0,0,0,0,0,0,0,0
2025,Q2,3.09,3.42,0.1054,0.0,10.54,0,0,0,0,0,0,0,0,0
2025,Q3,3.49,4.16,0.1917,1.0,19.17,0,0,0,0,0,0,0,0,0
2025,Q4,3.97,4.39,0.1062,0.0,10.62,0,0,0,0,0,0,0,0,0
2026,Q1,3.65,4.45,0.2186,0.0,21.86,0,0,0,0,0,0,0,0,0
