year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.7,0.93,0.3234,1.0,32.34,0,0,0,0,0,0,0,0,0
2020,Q3,0.58,0.62,0.0661,0.0,6.61,0,0,0,0,0,0,0,0,0
2020,Q4,0.74,1.18,0.589,0.0,58.9,0,0,0,0,0,0,0,0,0
2021,Q1,-0.04,0.16,5.0435,1.0,504.35,0,0,0,0,0,0,0,0,0
2021,Q2,0.57,0.88,0.5308,1.0,53.08,0,0,0,0,0,0,0,0,0
2021,Q3,0.58,0.65,0.1243,1.0,12.43,0,0,0,0,0,0,0,0,0
2021,Q4,1.03,1.11,0.0765,0.0,7.65,0,0,0,0,0,0,0,0,0
2022,Q1,0.05,0.13,1.836,1.0,183.6,0,0,0,0,0,0,0,0,0
2022,Q2,0.88,0.81,-0.0788,0.0,-7.88,0,0,0,0,0,0,0,0,0
2022,Q3,0.76,0.74,-0.0247,0.0,-2.47,0,0,0,0,0,0,0,0,0
2022,Q4,1.14,1.21,0.0593,1.0,5.93,0,0,0,0,0,0,0,0,0
2023,Q1,0.47,0.48,0.0107,0.0,1.07,0,0,0,0,0,0,0,0,0
2023,Q2,0.88,0.94,0.0733,0.0,7.33,0,0,0,0,0,0,0,0,0
2023,Q3,0.72,0.88,0.2246,1.0,22.46,0,0,0,0,0,0,0,0,0
2023,Q4,1.0,1.09,0.0881,0.0,8.81,0,0,0,0,0,0,0,0,0
2024,Q1,0.12,0.34,1.7375,1.0,173.75,0,0,0,0,0,0,0,0,0
2024,Q2,0.96,1.09,0.1368,1.0,13.68,0,0,0,0,0,0,0,0,0
2024,Q3,0.81,0.9,0.1103,0.0,11.03,0,0,0,0,0,0,0,0,0
2024,Q4,1.14,1.45,0.2705,0.0,27.05,0,0,0,0,0,0,0,0,0
2025,Q1,0.64,0.96,0.5024,1.0,50.24,0,0,0,0,0,0,0,0,0
2025,Q2,0.9,1.1,0.2262,0.0,22.62,0,0,0,0,0,0,0,0,0
2025,Q3,1.0,1.27,0.2728,0.0,27.28,0,0,0,0,0,0,0,0,0
2025,Q4,1.1,1.51,0.3742,0.0,37.42,0,0,0,0,0,0,0,0,0
2026,Q1,0.52,0.82,0.586,0.0,58.6,0,0,0,0,0,0,0,0,0
