year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.7,0.7,-0.0035,1.0,-0.35,0,0,0,0,0,0,0,0,0
2020,Q3,0.4,0.11,-0.7245,0.0,-72.45,0,0,0,0,0,0,0,0,0
2020,Q4,0.35,0.36,0.0081,0.0,0.81,0,0,0,0,0,0,0,0,0
2021,Q1,0.18,0.23,0.303,0.0,30.3,0,0,0,0,0,0,0,0,0
2021,Q2,0.2,0.37,0.9106,1.0,91.06,0,0,0,0,0,0,0,0,0
2021,Q3,0.35,0.57,0.6289,1.0,62.89,0,0,0,0,0,0,0,0,0
2021,Q4,0.41,0.64,0.5428,1.0,54.28,0,0,0,0,0,0,0,0,0
2022,Q1,0.56,0.51,-0.0734,0.0,-7.34,0,0,0,0,0,0,0,0,0
2022,Q2,0.52,0.63,0.2221,1.0,22.21,0,0,0,0,0,0,0,0,0
2022,Q3,0.62,0.75,0.2061,1.0,20.61,0,0,0,0,0,0,0,0,0
2022,Q4,0.63,0.66,0.0582,1.0,5.82,0,0,0,0,0,0,0,0,0
2023,Q1,0.63,0.61,-0.0358,0.0,-3.58,0,0,0,0,0,0,0,0,0
2023,Q2,0.62,0.64,0.0211,0.0,2.11,0,0,0,0,0,0,0,0,0
2023,Q3,0.65,0.72,0.1102,1.0,11.02,0,0,0,0,0,0,0,0,0
2023,Q4,0.68,0.67,-0.0132,1.0,-1.32,0,0,0,0,0,0,0,0,0
2024,Q1,0.67,0.66,-0.021,1.0,-2.1,0,0,0,0,0,0,0,0,0
2024,Q2,0.69,0.66,-0.0469,0.0,-4.69,0,0,0,0,0,0,0,0,0
2024,Q3,0.71,0.69,-0.0267,1.0,-2.67,0,0,0,0,0,0,0,0,0
2024,Q4,0.74,0.7,-0.0524,0.0,-5.24,0,0,0,0,0,0,0,0,0
2025,Q1,0.74,0.73,-0.0109,0.0,-1.09,0,0,0,0,0,0,0,0,0
2025,Q2,0.69,0.72,0.0407,0.0,4.07,0,0,0,0,0,0,0,0,0
2025,Q3,0.75,1.78,1.3829,1.0,138.29,0,0,0,0,0,0,0,0,0
2025,Q4,0.78,0.69,-0.113,0.0,-11.3,0,0,0,0,0,0,0,0,0
2026,Q1,0.76,1.56,1.0468,0.0,104.68,0,0,0,0,0,0,0,0,0
