year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.69,0.74,0.0686,0.0,6.86,0,0,0,0,0,0,0,0,0
2020,Q3,0.58,0.68,0.1707,1.0,17.07,0,0,0,0,0,0,0,0,0
2020,Q4,0.86,0.94,0.0983,0.0,9.83,0,0,0,0,0,0,0,0,0
2021,Q1,0.62,0.7,0.1306,1.0,13.06,0,0,0,0,0,0,0,0,0
2021,Q2,0.6,0.63,0.0542,0.0,5.42,0,0,0,0,0,0,0,0,0
2021,Q3,0.6,0.66,0.0945,1.0,9.45,0,0,0,0,0,0,0,0,0
2021,Q4,0.65,0.66,0.0134,0.0,1.34,0,0,0,0,0,0,0,0,0
2022,Q1,0.78,0.79,0.0153,0.0,1.53,0,0,0,0,0,0,0,0,0
2022,Q2,0.68,0.7,0.0312,0.0,3.12,0,0,0,0,0,0,0,0,0
2022,Q3,0.72,0.78,0.0817,1.0,8.17,0,0,0,0,0,0,0,0,0
2022,Q4,0.76,0.79,0.0425,0.0,4.25,0,0,0,0,0,0,0,0,0
2023,Q1,0.84,0.88,0.0445,1.0,4.45,0,0,0,0,0,0,0,0,0
2023,Q2,0.73,0.75,0.0258,0.0,2.58,0,0,0,0,0,0,0,0,0
2023,Q3,0.81,0.85,0.0534,1.0,5.34,0,0,0,0,0,0,0,0,0
2023,Q4,0.85,0.85,0.001,0.0,0.1,0,0,0,0,0,0,0,0,0
2024,Q1,0.94,0.98,0.0445,0.0,4.45,0,0,0,0,0,0,0,0,0
2024,Q2,0.79,0.83,0.0447,1.0,4.47,0,0,0,0,0,0,0,0,0
2024,Q3,0.92,0.93,0.0104,1.0,1.04,0,0,0,0,0,0,0,0,0
2024,Q4,0.64,0.63,-0.0105,1.0,-1.05,0,0,0,0,0,0,0,0,0
2025,Q1,0.83,0.6,-0.2737,0.0,-27.37,0,0,0,0,0,0,0,0,0
2025,Q2,0.85,0.85,-0.0017,1.0,-0.17,0,0,0,0,0,0,0,0,0
2025,Q3,0.42,0.33,-0.209,0.0,-20.9,0,0,0,0,0,0,0,0,0
2025,Q4,0.57,0.68,0.1948,1.0,19.48,0,0,0,0,0,0,0,0,0
2026,Q1,0.84,0.9,0.0736,0.0,7.36,0,0,0,0,0,0,0,0,0
