year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.46,2.43,-0.0118,0.0,-1.18,0,0,0,0,0,0,0,0,0
2020,Q3,2.18,2.18,0.0015,0.0,0.15,0,0,0,0,0,0,0,0,0
2020,Q4,2.86,2.9,0.0137,1.0,1.37,0,0,0,0,0,0,0,0,0
2021,Q1,3.54,3.49,-0.0144,0.0,-1.44,0,0,0,0,0,0,0,0,0
2021,Q2,2.29,2.48,0.0852,1.0,8.52,0,0,0,0,0,0,0,0,0
2021,Q3,2.54,2.61,0.0283,0.0,2.83,0,0,0,0,0,0,0,0,0
2021,Q4,2.98,3.07,0.0304,1.0,3.04,0,0,0,0,0,0,0,0,0
2022,Q1,3.37,3.39,0.0045,0.0,0.45,0,0,0,0,0,0,0,0,0
2022,Q2,2.5,2.61,0.043,1.0,4.3,0,0,0,0,0,0,0,0,0
2022,Q3,2.72,2.75,0.0118,0.0,1.18,0,0,0,0,0,0,0,0,0
2022,Q4,3.14,3.26,0.0367,1.0,3.67,0,0,0,0,0,0,0,0,0
2023,Q1,3.54,3.58,0.012,0.0,1.2,0,0,0,0,0,0,0,0,0
2023,Q2,2.58,2.64,0.0233,0.0,2.33,0,0,0,0,0,0,0,0,0
2023,Q3,2.59,2.7,0.0419,1.0,4.19,0,0,0,0,0,0,0,0,0
2023,Q4,2.92,3.04,0.0393,1.0,3.93,0,0,0,0,0,0,0,0,0
2024,Q1,3.62,3.64,0.0068,1.0,0.68,0,0,0,0,0,0,0,0,0
2024,Q2,2.92,2.88,-0.0153,1.0,-1.53,0,0,0,0,0,0,0,0,0
2024,Q3,3.33,3.26,-0.0199,1.0,-1.99,0,0,0,0,0,0,0,0,0
2024,Q4,3.51,3.35,-0.0456,0.0,-4.56,0,0,0,0,0,0,0,0,0
2025,Q1,4.04,4.15,0.0271,0.0,2.71,0,0,0,0,0,0,0,0,0
2025,Q2,3.46,3.66,0.0572,1.0,5.72,0,0,0,0,0,0,0,0,0
2025,Q3,3.54,3.74,0.0559,1.0,5.59,0,0,0,0,0,0,0,0,0
2025,Q4,3.71,3.88,0.0457,1.0,4.57,0,0,0,0,0,0,0,0,0
2026,Q1,4.11,4.17,0.0154,0.0,1.54,0,0,0,0,0,0,0,0,0
