year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.56,1.68,0.0746,1.0,7.46,0,0,0,0,0,0,0,0,0
2020,Q3,1.45,1.11,-0.2338,0.0,-23.38,0,0,0,0,0,0,0,0,0
2020,Q4,1.89,2.11,0.1188,1.0,11.88,0,0,0,0,0,0,0,0,0
2021,Q1,2.15,2.19,0.0197,1.0,1.97,0,0,0,0,0,0,0,0,0
2021,Q2,2.11,2.08,-0.0152,0.0,-1.52,0,0,0,0,0,0,0,0,0
2021,Q3,1.75,1.87,0.0706,0.0,7.06,0,0,0,0,0,0,0,0,0
2021,Q4,1.78,2.65,0.4872,1.0,48.72,0,0,0,0,0,0,0,0,0
2022,Q1,1.59,0.69,-0.5664,0.0,-56.64,0,0,0,0,0,0,0,0,0
2022,Q2,1.81,2.12,0.1724,1.0,17.24,0,0,0,0,0,0,0,0,0
2022,Q3,1.52,1.58,0.0391,0.0,3.91,0,0,0,0,0,0,0,0,0
2022,Q4,1.43,1.9,0.3288,1.0,32.88,0,0,0,0,0,0,0,0,0
2023,Q1,1.51,1.67,0.1087,1.0,10.87,0,0,0,0,0,0,0,0,0
2023,Q2,1.54,1.37,-0.1084,1.0,-10.84,0,0,0,0,0,0,0,0,0
2023,Q3,1.64,1.34,-0.1825,0.0,-18.25,0,0,0,0,0,0,0,0,0
2023,Q4,1.92,2.29,0.1956,1.0,19.56,0,0,0,0,0,0,0,0,0
2024,Q1,1.76,1.72,-0.0234,0.0,-2.34,0,0,0,0,0,0,0,0,0
2024,Q2,-1.52,-1.32,0.1311,0.0,13.11,0,0,0,0,0,0,0,0,0
2024,Q3,1.6,2.01,0.2574,0.0,25.74,0,0,0,0,0,0,0,0,0
2024,Q4,1.55,2.02,0.3048,1.0,30.48,0,0,0,0,0,0,0,0,0
2025,Q1,1.7,1.9,0.1173,1.0,11.73,0,0,0,0,0,0,0,0,0
2025,Q2,1.78,1.81,0.0194,0.0,1.94,0,0,0,0,0,0,0,0,0
2025,Q3,1.96,2.01,0.0272,0.0,2.72,0,0,0,0,0,0,0,0,0
2025,Q4,2.14,2.47,0.1568,1.0,15.68,0,0,0,0,0,0,0,0,0
2026,Q1,1.83,1.86,0.0188,0.0,1.88,0,0,0,0,0,0,0,0,0
