year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.71,1.73,0.0097,0.0,0.97,0,0,0,0,0,0,0,0,0
2020,Q3,1.51,1.65,0.0942,1.0,9.42,0,0,0,0,0,0,0,0,0
2020,Q4,1.75,1.75,0.0019,0.0,0.19,0,0,0,0,0,0,0,0,0
2021,Q1,1.71,1.74,0.0165,1.0,1.65,0,0,0,0,0,0,0,0,0
2021,Q2,1.61,1.53,-0.0506,0.0,-5.06,0,0,0,0,0,0,0,0,0
2021,Q3,1.82,1.85,0.0164,1.0,1.64,0,0,0,0,0,0,0,0,0
2021,Q4,1.89,1.78,-0.0573,0.0,-5.73,0,0,0,0,0,0,0,0,0
2022,Q1,1.76,1.7,-0.0361,0.0,-3.61,0,0,0,0,0,0,0,0,0
2022,Q2,1.73,1.7,-0.0156,0.0,-1.56,0,0,0,0,0,0,0,0,0
2022,Q3,2.05,2.07,0.0078,0.0,0.78,0,0,0,0,0,0,0,0,0
2022,Q4,2.1,2.15,0.0229,0.0,2.29,0,0,0,0,0,0,0,0,0
2023,Q1,2.17,2.24,0.032,1.0,3.2,0,0,0,0,0,0,0,0,0
2023,Q2,2.47,2.53,0.025,1.0,2.5,0,0,0,0,0,0,0,0,0
2023,Q3,2.58,2.61,0.0135,0.0,1.35,0,0,0,0,0,0,0,0,0
2023,Q4,2.65,2.71,0.0221,0.0,2.21,0,0,0,0,0,0,0,0,0
2024,Q1,2.73,2.8,0.0253,1.0,2.53,0,0,0,0,0,0,0,0,0
2024,Q2,2.79,2.78,-0.0032,0.0,-0.32,0,0,0,0,0,0,0,0,0
2024,Q3,2.91,2.97,0.0215,0.0,2.15,0,0,0,0,0,0,0,0,0
2024,Q4,3.06,3.49,0.1417,1.0,14.17,0,0,0,0,0,0,0,0,0
2025,Q1,3.12,3.14,0.0066,1.0,0.66,0,0,0,0,0,0,0,0,0
2025,Q2,3.24,3.07,-0.0522,0.0,-5.22,0,0,0,0,0,0,0,0,0
2025,Q3,3.25,3.27,0.0076,0.0,0.76,0,0,0,0,0,0,0,0,0
2025,Q4,4.54,4.81,0.059,1.0,5.9,0,0,0,0,0,0,0,0,0
2026,Q1,3.44,3.39,-0.0132,0.0,-1.32,0,0,0,0,0,0,0,0,0
