year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.19,0.2,0.0729,0.0,7.29,0,0,0,0,0,0,0,0,0
2020,Q3,0.14,0.25,0.7622,1.0,76.22,0,0,0,0,0,0,0,0,0
2020,Q4,0.38,0.43,0.1443,1.0,14.43,0,0,0,0,0,0,0,0,0
2021,Q1,0.49,0.52,0.0658,1.0,6.58,0,0,0,0,0,0,0,0,0
2021,Q2,0.43,0.45,0.0503,1.0,5.03,0,0,0,0,0,0,0,0,0
2021,Q3,0.51,0.53,0.036,1.0,3.6,0,0,0,0,0,0,0,0,0
2021,Q4,0.58,0.56,-0.027,0.0,-2.7,0,0,0,0,0,0,0,0,0
2022,Q1,0.52,0.54,0.0406,0.0,4.06,0,0,0,0,0,0,0,0,0
2022,Q2,0.49,0.54,0.0917,1.0,9.17,0,0,0,0,0,0,0,0,0
2022,Q3,0.56,0.57,0.0125,1.0,1.25,0,0,0,0,0,0,0,0,0
2022,Q4,0.51,0.51,-0.0008,0.0,-0.08,0,0,0,0,0,0,0,0,0
2023,Q1,0.44,0.47,0.0683,1.0,6.83,0,0,0,0,0,0,0,0,0
2023,Q2,0.39,0.41,0.047,1.0,4.7,0,0,0,0,0,0,0,0,0
2023,Q3,0.45,0.45,-0.0033,1.0,-0.33,0,0,0,0,0,0,0,0,0
2023,Q4,0.47,0.45,-0.0497,0.0,-4.97,0,0,0,0,0,0,0,0,0
2024,Q1,0.41,0.39,-0.0408,0.0,-4.08,0,0,0,0,0,0,0,0,0
2024,Q2,0.35,0.38,0.0844,1.0,8.44,0,0,0,0,0,0,0,0,0
2024,Q3,0.47,0.47,-0.0007,0.0,-0.07,0,0,0,0,0,0,0,0,0
2024,Q4,0.52,0.54,0.0305,1.0,3.05,0,0,0,0,0,0,0,0,0
2025,Q1,0.56,0.57,0.021,0.0,2.1,0,0,0,0,0,0,0,0,0
2025,Q2,0.51,0.54,0.0543,1.0,5.43,0,0,0,0,0,0,0,0,0
2025,Q3,0.57,0.6,0.0513,1.0,5.13,0,0,0,0,0,0,0,0,0
2025,Q4,0.66,0.67,0.008,0.0,0.8,0,0,0,0,0,0,0,0,0
2026,Q1,0.71,0.72,0.0208,0.0,2.08,0,0,0,0,0,0,0,0,0
