year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.8,0.87,0.083,0.0,8.3,0,0,0,0,0,0,0,0,0
2020,Q3,0.89,1.4,0.5782,1.0,57.82,0,0,0,0,0,0,0,0,0
2020,Q4,1.71,2.08,0.2161,1.0,21.61,0,0,0,0,0,0,0,0,0
2021,Q1,1.96,2.12,0.0813,0.0,8.13,0,0,0,0,0,0,0,0,0
2021,Q2,1.88,2.38,0.2654,1.0,26.54,0,0,0,0,0,0,0,0,0
2021,Q3,2.32,2.39,0.0303,1.0,3.03,0,0,0,0,0,0,0,0,0
2021,Q4,2.39,2.35,-0.0156,0.0,-1.56,0,0,0,0,0,0,0,0,0
2022,Q1,2.4,2.51,0.0471,0.0,4.71,0,0,0,0,0,0,0,0,0
2022,Q2,1.92,2.09,0.0862,0.0,8.62,0,0,0,0,0,0,0,0,0
2022,Q3,2.64,2.99,0.1337,1.0,13.37,0,0,0,0,0,0,0,0,0
2022,Q4,1.82,1.75,-0.0373,0.0,-3.73,0,0,0,0,0,0,0,0,0
2023,Q1,1.75,1.78,0.0149,0.0,1.49,0,0,0,0,0,0,0,0,0
2023,Q2,0.5,0.63,0.2579,1.0,25.79,0,0,0,0,0,0,0,0,0
2023,Q3,1.18,1.08,-0.0812,0.0,-8.12,0,0,0,0,0,0,0,0,0
2023,Q4,1.51,1.64,0.0837,1.0,8.37,0,0,0,0,0,0,0,0,0
2024,Q1,2.09,2.07,-0.0092,0.0,-0.92,0,0,0,0,0,0,0,0,0
2024,Q2,0.71,0.88,0.2396,1.0,23.96,0,0,0,0,0,0,0,0,0
2024,Q3,1.2,1.35,0.1234,0.0,12.34,0,0,0,0,0,0,0,0,0
2024,Q4,1.95,2.25,0.1548,1.0,15.48,0,0,0,0,0,0,0,0,0
2025,Q1,2.53,2.8,0.1082,0.0,10.82,0,0,0,0,0,0,0,0,0
2025,Q2,0.97,1.26,0.3039,1.0,30.39,0,0,0,0,0,0,0,0,0
2025,Q3,1.32,1.65,0.2458,1.0,24.58,0,0,0,0,0,0,0,0,0
2025,Q4,2.2,1.83,-0.1672,0.0,-16.72,0,0,0,0,0,0,0,0,0
2026,Q1,1.77,1.61,-0.0902,0.0,-9.02,0,0,0,0,0,0,0,0,0
