year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.54,0.49,-0.0829,0.0,-8.29,0,0,0,0,0,0,0,0,0
2020,Q3,0.41,0.51,0.234,0.0,23.4,0,0,0,0,0,0,0,0,0
2020,Q4,0.56,0.82,0.4648,1.0,46.48,0,0,0,0,0,0,0,0,0
2021,Q1,0.8,1.12,0.3928,0.0,39.28,0,0,0,0,0,0,0,0,0
2021,Q2,0.78,1.31,0.6788,1.0,67.88,0,0,0,0,0,0,0,0,0
2021,Q3,0.96,1.36,0.427,1.0,42.7,0,0,0,0,0,0,0,0,0
2021,Q4,1.16,1.4,0.2044,1.0,20.44,0,0,0,0,0,0,0,0,0
2022,Q1,1.36,1.53,0.1252,1.0,12.52,0,0,0,0,0,0,0,0,0
2022,Q2,1.28,1.23,-0.0367,1.0,-3.67,0,0,0,0,0,0,0,0,0
2022,Q3,1.29,1.21,-0.0605,1.0,-6.05,0,0,0,0,0,0,0,0,0
2022,Q4,1.26,1.06,-0.1601,0.0,-16.01,0,0,0,0,0,0,0,0,0
2023,Q1,1.2,1.05,-0.1233,0.0,-12.33,0,0,0,0,0,0,0,0,0
2023,Q2,1.07,1.17,0.0945,1.0,9.45,0,0,0,0,0,0,0,0,0
2023,Q3,1.34,1.44,0.0729,1.0,7.29,0,0,0,0,0,0,0,0,0
2023,Q4,1.45,1.55,0.0705,1.0,7.05,0,0,0,0,0,0,0,0,0
2024,Q1,1.6,1.64,0.0253,0.0,2.53,0,0,0,0,0,0,0,0,0
2024,Q2,1.51,1.89,0.2558,1.0,25.58,0,0,0,0,0,0,0,0,0
2024,Q3,1.84,1.89,0.0254,0.0,2.54,0,0,0,0,0,0,0,0,0
2024,Q4,1.85,2.12,0.1474,1.0,14.74,0,0,0,0,0,0,0,0,0
2025,Q1,2.13,2.15,0.0118,0.0,1.18,0,0,0,0,0,0,0,0,0
2025,Q2,2.01,2.81,0.3984,1.0,39.84,0,0,0,0,0,0,0,0,0
2025,Q3,2.2,2.31,0.0509,0.0,5.09,0,0,0,0,0,0,0,0,0
2025,Q4,2.26,2.87,0.2688,1.0,26.88,0,0,0,0,0,0,0,0,0
2026,Q1,2.64,2.82,0.0678,0.0,6.78,0,0,0,0,0,0,0,0,0
