year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.24,0.31,0.2692,0.0,26.92,0,0,0,0,0,0,0,0,0
2020,Q3,-0.11,0.05,1.4492,1.0,144.92,0,0,0,0,0,0,0,0,0
2020,Q4,0.09,0.11,0.2896,1.0,28.96,0,0,0,0,0,0,0,0,0
2021,Q1,0.14,0.18,0.2511,1.0,25.11,0,0,0,0,0,0,0,0,0
2021,Q2,0.17,0.19,0.1312,0.0,13.12,0,0,0,0,0,0,0,0,0
2021,Q3,0.23,0.26,0.1418,1.0,14.18,0,0,0,0,0,0,0,0,0
2021,Q4,0.28,0.28,0.014,0.0,1.4,0,0,0,0,0,0,0,0,0
2022,Q1,0.34,0.36,0.0506,1.0,5.06,0,0,0,0,0,0,0,0,0
2022,Q2,0.34,0.35,0.0166,0.0,1.66,0,0,0,0,0,0,0,0,0
2022,Q3,0.45,0.49,0.0948,1.0,9.48,0,0,0,0,0,0,0,0,0
2022,Q4,0.56,0.6,0.0702,0.0,7.02,0,0,0,0,0,0,0,0,0
2023,Q1,0.67,0.72,0.0753,1.0,7.53,0,0,0,0,0,0,0,0,0
2023,Q2,0.67,0.72,0.0716,1.0,7.16,0,0,0,0,0,0,0,0,0
2023,Q3,0.75,0.77,0.0309,1.0,3.09,0,0,0,0,0,0,0,0,0
2023,Q4,0.77,0.79,0.0279,0.0,2.79,0,0,0,0,0,0,0,0,0
2024,Q1,0.8,0.86,0.0807,1.0,8.07,0,0,0,0,0,0,0,0,0
2024,Q2,0.74,0.76,0.0202,1.0,2.02,0,0,0,0,0,0,0,0,0
2024,Q3,0.8,0.8,-0.0008,1.0,-0.08,0,0,0,0,0,0,0,0,0
2024,Q4,0.75,0.73,-0.031,0.0,-3.1,0,0,0,0,0,0,0,0,0
2025,Q1,0.7,0.7,0.0069,1.0,0.69,0,0,0,0,0,0,0,0,0
2025,Q2,0.6,0.6,-0.0043,1.0,-0.43,0,0,0,0,0,0,0,0,0
2025,Q3,0.55,0.55,-0.0072,0.0,-0.72,0,0,0,0,0,0,0,0,0
2025,Q4,0.5,0.58,0.1693,0.0,16.93,0,0,0,0,0,0,0,0,0
2026,Q1,0.55,0.69,0.2632,0.0,26.32,0,0,0,0,0,0,0,0,0
