year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.26,2.08,-0.0782,0.0,-7.82,0,0,0,0,0,0,0,0,0
2020,Q3,3.72,4.02,0.0806,1.0,8.06,0,0,0,0,0,0,0,0,0
2020,Q4,3.04,3.18,0.0477,1.0,4.77,0,0,0,0,0,0,0,0,0
2021,Q1,2.62,2.74,0.0459,0.0,4.59,0,0,0,0,0,0,0,0,0
2021,Q2,3.05,3.86,0.2658,1.0,26.58,0,0,0,0,0,0,0,0,0
2021,Q3,4.43,4.53,0.0233,0.0,2.33,0,0,0,0,0,0,0,0,0
2021,Q4,3.4,3.92,0.1529,1.0,15.29,0,0,0,0,0,0,0,0,0
2022,Q1,3.18,3.21,0.0087,0.0,0.87,0,0,0,0,0,0,0,0,0
2022,Q2,3.69,4.09,0.1083,1.0,10.83,0,0,0,0,0,0,0,0,0
2022,Q3,4.93,5.05,0.0236,0.0,2.36,0,0,0,0,0,0,0,0,0
2022,Q4,4.12,4.24,0.0296,1.0,2.96,0,0,0,0,0,0,0,0,0
2023,Q1,3.29,3.3,0.004,0.0,0.4,0,0,0,0,0,0,0,0,0
2023,Q2,3.8,3.82,0.0052,0.0,0.52,0,0,0,0,0,0,0,0,0
2023,Q3,4.44,4.65,0.0468,1.0,4.68,0,0,0,0,0,0,0,0,0
2023,Q4,3.76,3.81,0.0135,0.0,1.35,0,0,0,0,0,0,0,0,0
2024,Q1,2.77,2.82,0.0163,1.0,1.63,0,0,0,0,0,0,0,0,0
2024,Q2,3.61,3.63,0.0057,0.0,0.57,0,0,0,0,0,0,0,0,0
2024,Q3,4.55,4.6,0.0116,1.0,1.16,0,0,0,0,0,0,0,0,0
2024,Q4,3.66,3.67,0.0033,1.0,0.33,0,0,0,0,0,0,0,0,0
2025,Q1,3.04,3.02,-0.0079,1.0,-0.79,0,0,0,0,0,0,0,0,0
2025,Q2,3.59,3.56,-0.0081,0.0,-0.81,0,0,0,0,0,0,0,0,0
2025,Q3,4.69,4.68,-0.0031,1.0,-0.31,0,0,0,0,0,0,0,0,0
2025,Q4,3.83,3.74,-0.0245,0.0,-2.45,0,0,0,0,0,0,0,0,0
2026,Q1,2.52,2.72,0.078,0.0,7.8,0,0,0,0,0,0,0,0,0
