year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.94,2.21,0.1365,1.0,13.65,0,0,0,0,0,0,0,0,0
2020,Q3,1.24,1.26,0.0166,0.0,1.66,0,0,0,0,0,0,0,0,0
2020,Q4,1.49,1.56,0.0494,1.0,4.94,0,0,0,0,0,0,0,0,0
2021,Q1,2.0,2.07,0.035,0.0,3.5,0,0,0,0,0,0,0,0,0
2021,Q2,1.8,1.92,0.0659,1.0,6.59,0,0,0,0,0,0,0,0,0
2021,Q3,1.94,2.02,0.0386,1.0,3.86,0,0,0,0,0,0,0,0,0
2021,Q4,2.0,2.02,0.0117,1.0,1.17,0,0,0,0,0,0,0,0,0
2022,Q1,2.08,2.09,0.0052,0.0,0.52,0,0,0,0,0,0,0,0,0
2022,Q2,1.86,1.91,0.0258,0.0,2.58,0,0,0,0,0,0,0,0,0
2022,Q3,2.03,2.1,0.036,0.0,3.6,0,0,0,0,0,0,0,0,0
2022,Q4,2.15,2.25,0.0461,1.0,4.61,0,0,0,0,0,0,0,0,0
2023,Q1,2.51,2.52,0.0045,0.0,0.45,0,0,0,0,0,0,0,0,0
2023,Q2,1.93,2.07,0.0743,1.0,7.43,0,0,0,0,0,0,0,0,0
2023,Q3,2.21,2.23,0.0079,0.0,0.79,0,0,0,0,0,0,0,0,0
2023,Q4,2.23,2.27,0.0187,1.0,1.87,0,0,0,0,0,0,0,0,0
2024,Q1,2.59,2.6,0.0033,0.0,0.33,0,0,0,0,0,0,0,0,0
2024,Q2,2.18,2.25,0.0332,1.0,3.32,0,0,0,0,0,0,0,0,0
2024,Q3,2.42,2.49,0.031,1.0,3.1,0,0,0,0,0,0,0,0,0
2024,Q4,2.5,2.58,0.0308,0.0,3.08,0,0,0,0,0,0,0,0,0
2025,Q1,2.35,2.47,0.0528,0.0,5.28,0,0,0,0,0,0,0,0,0
2025,Q2,2.21,2.51,0.1364,1.0,13.64,0,0,0,0,0,0,0,0,0
2025,Q3,2.66,2.75,0.0343,0.0,3.43,0,0,0,0,0,0,0,0,0
2025,Q4,2.57,2.82,0.0987,1.0,9.87,0,0,0,0,0,0,0,0,0
2026,Q1,2.54,2.59,0.0214,0.0,2.14,0,0,0,0,0,0,0,0,0
