year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.71,1.63,-0.0461,0.0,-4.61,0,0,0,0,0,0,0,0,0
2020,Q3,1.13,1.31,0.1621,1.0,16.21,0,0,0,0,0,0,0,0,0
2020,Q4,1.72,1.86,0.0823,1.0,8.23,0,0,0,0,0,0,0,0,0
2021,Q1,1.43,1.49,0.0448,0.0,4.48,0,0,0,0,0,0,0,0,0
2021,Q2,1.8,1.92,0.0675,1.0,6.75,0,0,0,0,0,0,0,0,0
2021,Q3,1.42,1.47,0.0317,0.0,3.17,0,0,0,0,0,0,0,0,0
2021,Q4,2.0,2.1,0.048,1.0,4.8,0,0,0,0,0,0,0,0,0
2022,Q1,1.61,1.69,0.0468,0.0,4.68,0,0,0,0,0,0,0,0,0
2022,Q2,2.1,2.53,0.2057,1.0,20.57,0,0,0,0,0,0,0,0,0
2022,Q3,1.68,1.8,0.0693,1.0,6.93,0,0,0,0,0,0,0,0,0
2022,Q4,2.1,2.17,0.032,0.0,3.2,0,0,0,0,0,0,0,0,0
2023,Q1,1.77,2.02,0.1395,1.0,13.95,0,0,0,0,0,0,0,0,0
2023,Q2,2.67,2.96,0.1107,1.0,11.07,0,0,0,0,0,0,0,0,0
2023,Q3,1.91,2.01,0.0497,0.0,4.97,0,0,0,0,0,0,0,0,0
2023,Q4,2.45,2.6,0.0596,1.0,5.96,0,0,0,0,0,0,0,0,0
2024,Q1,1.96,2.02,0.0328,0.0,3.28,0,0,0,0,0,0,0,0,0
2024,Q2,2.76,3.07,0.1117,1.0,11.17,0,0,0,0,0,0,0,0,0
2024,Q3,1.45,1.27,-0.1259,0.0,-12.59,0,0,0,0,0,0,0,0,0
2024,Q4,2.55,2.34,-0.0829,0.0,-8.29,0,0,0,0,0,0,0,0,0
2025,Q1,2.38,2.69,0.1326,1.0,13.26,0,0,0,0,0,0,0,0,0
2025,Q2,1.93,2.09,0.0803,0.0,8.03,0,0,0,0,0,0,0,0,0
2025,Q3,1.0,1.21,0.2042,0.0,20.42,0,0,0,0,0,0,0,0,0
2025,Q4,1.06,1.3,0.2222,1.0,22.22,0,0,0,0,0,0,0,0,0
2026,Q1,1.4,1.71,0.2177,0.0,21.77,0,0,0,0,0,0,0,0,0
