year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.22,1.28,0.0462,1.0,4.62,0,0,0,0,0,0,0,0,0
2020,Q3,1.04,1.07,0.0261,0.0,2.61,0,0,0,0,0,0,0,0,0
2020,Q4,0.98,1.03,0.046,1.0,4.6,0,0,0,0,0,0,0,0,0
2021,Q1,1.08,1.13,0.0453,1.0,4.53,0,0,0,0,0,0,0,0,0
2021,Q2,1.31,1.34,0.0238,1.0,2.38,0,0,0,0,0,0,0,0,0
2021,Q3,1.16,1.16,0.0036,0.0,0.36,0,0,0,0,0,0,0,0,0
2021,Q4,1.23,1.3,0.0582,1.0,5.82,0,0,0,0,0,0,0,0,0
2022,Q1,1.32,1.34,0.0175,1.0,1.75,0,0,0,0,0,0,0,0,0
2022,Q2,1.42,1.43,0.007,0.0,0.7,0,0,0,0,0,0,0,0,0
2022,Q3,1.27,1.32,0.0399,1.0,3.99,0,0,0,0,0,0,0,0,0
2022,Q4,1.27,1.31,0.0337,1.0,3.37,0,0,0,0,0,0,0,0,0
2023,Q1,1.26,1.25,-0.0096,0.0,-0.96,0,0,0,0,0,0,0,0,0
2023,Q2,1.4,1.41,0.0075,0.0,0.75,0,0,0,0,0,0,0,0,0
2023,Q3,1.37,1.43,0.046,0.0,4.6,0,0,0,0,0,0,0,0,0
2023,Q4,1.39,1.46,0.0517,1.0,5.17,0,0,0,0,0,0,0,0,0
2024,Q1,1.29,1.33,0.0306,1.0,3.06,0,0,0,0,0,0,0,0,0
2024,Q2,1.49,1.48,-0.0046,0.0,-0.46,0,0,0,0,0,0,0,0,0
2024,Q3,1.49,1.52,0.0225,1.0,2.25,0,0,0,0,0,0,0,0,0
2024,Q4,1.55,1.55,-0.0006,0.0,-0.06,0,0,0,0,0,0,0,0,0
2025,Q1,1.49,1.52,0.0198,1.0,1.98,0,0,0,0,0,0,0,0,0
2025,Q2,1.7,1.72,0.0099,0.0,0.99,0,0,0,0,0,0,0,0,0
2025,Q3,1.77,1.81,0.0226,0.0,2.26,0,0,0,0,0,0,0,0,0
2025,Q4,1.61,1.71,0.0644,1.0,6.44,0,0,0,0,0,0,0,0,0
2026,Q1,1.67,1.71,0.0223,0.0,2.23,0,0,0,0,0,0,0,0,0
