year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.29,1.33,0.028,0.0,2.8,0,0,0,0,0,0,0,0,0
2020,Q3,0.97,1.1,0.1301,0.0,13.01,0,0,0,0,0,0,0,0,0
2020,Q4,1.19,1.4,0.1717,1.0,17.17,0,0,0,0,0,0,0,0,0
2021,Q1,1.31,1.37,0.0459,0.0,4.59,0,0,0,0,0,0,0,0,0
2021,Q2,1.41,1.51,0.0682,1.0,6.82,0,0,0,0,0,0,0,0,0
2021,Q3,1.62,1.61,-0.0033,0.0,-0.33,0,0,0,0,0,0,0,0,0
2021,Q4,1.59,1.63,0.0242,1.0,2.42,0,0,0,0,0,0,0,0,0
2022,Q1,1.59,1.55,-0.028,0.0,-2.8,0,0,0,0,0,0,0,0,0
2022,Q2,1.74,1.96,0.1238,1.0,12.38,0,0,0,0,0,0,0,0,0
2022,Q3,1.89,2.02,0.0666,0.0,6.66,0,0,0,0,0,0,0,0,0
2022,Q4,2.0,2.14,0.0683,1.0,6.83,0,0,0,0,0,0,0,0,0
2023,Q1,1.97,2.01,0.0199,0.0,1.99,0,0,0,0,0,0,0,0,0
2023,Q2,2.02,2.09,0.035,1.0,3.5,0,0,0,0,0,0,0,0,0
2023,Q3,2.12,2.18,0.0268,0.0,2.68,0,0,0,0,0,0,0,0,0
2023,Q4,1.88,2.12,0.1247,1.0,12.47,0,0,0,0,0,0,0,0,0
2024,Q1,1.78,1.83,0.0302,0.0,3.02,0,0,0,0,0,0,0,0,0
2024,Q2,1.76,1.88,0.07,1.0,7.0,0,0,0,0,0,0,0,0,0
2024,Q3,2.04,2.06,0.0085,1.0,0.85,0,0,0,0,0,0,0,0,0
2024,Q4,1.88,1.9,0.0082,1.0,0.82,0,0,0,0,0,0,0,0,0
2025,Q1,2.03,2.04,0.0053,0.0,0.53,0,0,0,0,0,0,0,0,0
2025,Q2,1.64,1.75,0.0665,1.0,6.65,0,0,0,0,0,0,0,0,0
2025,Q3,1.99,2.07,0.0402,0.0,4.02,0,0,0,0,0,0,0,0,0
2025,Q4,1.56,1.7,0.088,1.0,8.8,0,0,0,0,0,0,0,0,0
2026,Q1,2.04,2.1,0.0289,0.0,2.89,0,0,0,0,0,0,0,0,0
