year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.85,0.9,0.0572,0.0,5.72,0,0,0,0,0,0,0,0,0
2020,Q3,0.16,0.37,1.2547,1.0,125.47,0,0,0,0,0,0,0,0,0
2020,Q4,0.68,0.92,0.351,1.0,35.1,0,0,0,0,0,0,0,0,0
2021,Q1,1.04,1.19,0.1527,0.0,15.27,0,0,0,0,0,0,0,0,0
2021,Q2,0.88,1.17,0.3369,1.0,33.69,0,0,0,0,0,0,0,0,0
2021,Q3,1.02,1.31,0.2814,1.0,28.14,0,0,0,0,0,0,0,0,0
2021,Q4,1.16,1.19,0.0272,1.0,2.72,0,0,0,0,0,0,0,0,0
2022,Q1,1.28,1.3,0.0156,0.0,1.56,0,0,0,0,0,0,0,0,0
2022,Q2,1.08,1.13,0.051,1.0,5.1,0,0,0,0,0,0,0,0,0
2022,Q3,1.2,1.14,-0.0484,0.0,-4.84,0,0,0,0,0,0,0,0,0
2022,Q4,1.12,1.19,0.0639,1.0,6.39,0,0,0,0,0,0,0,0,0
2023,Q1,1.25,1.23,-0.0189,0.0,-1.89,0,0,0,0,0,0,0,0,0
2023,Q2,1.2,1.23,0.0283,0.0,2.83,0,0,0,0,0,0,0,0,0
2023,Q3,1.33,1.42,0.0688,1.0,6.88,0,0,0,0,0,0,0,0,0
2023,Q4,1.42,1.46,0.0317,0.0,3.17,0,0,0,0,0,0,0,0,0
2024,Q1,1.49,1.6,0.0772,1.0,7.72,0,0,0,0,0,0,0,0,0
2024,Q2,1.42,1.5,0.0598,0.0,5.98,0,0,0,0,0,0,0,0,0
2024,Q3,1.54,1.78,0.1551,1.0,15.51,0,0,0,0,0,0,0,0,0
2024,Q4,1.64,1.84,0.1225,0.0,12.25,0,0,0,0,0,0,0,0,0
2025,Q1,1.79,2.21,0.2373,1.0,23.73,0,0,0,0,0,0,0,0,0
2025,Q2,1.73,1.81,0.0441,0.0,4.41,0,0,0,0,0,0,0,0,0
2025,Q3,1.92,2.19,0.1408,0.0,14.08,0,0,0,0,0,0,0,0,0
2025,Q4,1.99,2.4,0.207,1.0,20.7,0,0,0,0,0,0,0,0,0
2026,Q1,2.27,2.53,0.1157,0.0,11.57,0,0,0,0,0,0,0,0,0
