year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.51,0.34,-0.3295,0.0,-32.95,0,0,0,0,0,0,0,0,0
2020,Q3,0.43,0.35,-0.1946,0.0,-19.46,0,0,0,0,0,0,0,0,0
2020,Q4,0.48,0.53,0.1114,0.0,11.14,0,0,0,0,0,0,0,0,0
2021,Q1,0.57,0.72,0.2573,1.0,25.73,0,0,0,0,0,0,0,0,0
2021,Q2,0.62,0.68,0.0977,0.0,9.77,0,0,0,0,0,0,0,0,0
2021,Q3,0.7,0.78,0.1109,1.0,11.09,0,0,0,0,0,0,0,0,0
2021,Q4,0.73,0.77,0.055,0.0,5.5,0,0,0,0,0,0,0,0,0
2022,Q1,0.76,0.86,0.1295,1.0,12.95,0,0,0,0,0,0,0,0,0
2022,Q2,0.62,0.56,-0.1004,1.0,-10.04,0,0,0,0,0,0,0,0,0
2022,Q3,0.5,0.39,-0.2226,0.0,-22.26,0,0,0,0,0,0,0,0,0
2022,Q4,0.41,0.34,-0.1731,0.0,-17.31,0,0,0,0,0,0,0,0,0
2023,Q1,0.36,0.39,0.0727,1.0,7.27,0,0,0,0,0,0,0,0,0
2023,Q2,0.36,0.38,0.0488,1.0,4.88,0,0,0,0,0,0,0,0,0
2023,Q3,0.4,0.31,-0.2161,0.0,-21.61,0,0,0,0,0,0,0,0,0
2023,Q4,0.35,0.35,-0.0107,0.0,-1.07,0,0,0,0,0,0,0,0,0
2024,Q1,0.4,0.47,0.1869,1.0,18.69,0,0,0,0,0,0,0,0,0
2024,Q2,0.4,0.33,-0.1745,0.0,-17.45,0,0,0,0,0,0,0,0,0
2024,Q3,0.4,0.43,0.0809,1.0,8.09,0,0,0,0,0,0,0,0,0
2024,Q4,0.43,0.44,0.0176,0.0,1.76,0,0,0,0,0,0,0,0,0
2025,Q1,0.47,0.52,0.0963,0.0,9.63,0,0,0,0,0,0,0,0,0
2025,Q2,0.39,0.44,0.1391,1.0,13.91,0,0,0,0,0,0,0,0,0
2025,Q3,0.38,-0.03,-1.0791,0.0,-107.91,0,0,0,0,0,0,0,0,0
2025,Q4,0.44,0.61,0.3773,1.0,37.73,0,0,0,0,0,0,0,0,0
2026,Q1,0.58,0.62,0.071,0.0,7.1,0,0,0,0,0,0,0,0,0
