year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.31,1.39,0.0641,0.0,6.41,0,0,0,0,0,0,0,0,0
2020,Q3,1.01,1.26,0.2433,1.0,24.33,0,0,0,0,0,0,0,0,0
2020,Q4,1.32,1.63,0.2322,1.0,23.22,0,0,0,0,0,0,0,0,0
2021,Q1,1.29,1.41,0.0944,0.0,9.44,0,0,0,0,0,0,0,0,0
2021,Q2,1.39,1.66,0.1955,1.0,19.55,0,0,0,0,0,0,0,0,0
2021,Q3,1.52,1.64,0.0762,1.0,7.62,0,0,0,0,0,0,0,0,0
2021,Q4,1.57,1.58,0.0051,1.0,0.51,0,0,0,0,0,0,0,0,0
2022,Q1,1.58,1.56,-0.012,0.0,-1.2,0,0,0,0,0,0,0,0,0
2022,Q2,1.68,1.72,0.023,0.0,2.3,0,0,0,0,0,0,0,0,0
2022,Q3,1.8,1.86,0.034,1.0,3.4,0,0,0,0,0,0,0,0,0
2022,Q4,1.77,1.8,0.0154,0.0,1.54,0,0,0,0,0,0,0,0,0
2023,Q1,1.61,1.67,0.0367,1.0,3.67,0,0,0,0,0,0,0,0,0
2023,Q2,1.78,1.81,0.0179,1.0,1.79,0,0,0,0,0,0,0,0,0
2023,Q3,1.82,1.82,-0.0002,1.0,-0.02,0,0,0,0,0,0,0,0,0
2023,Q4,2.02,1.9,-0.0579,0.0,-5.79,0,0,0,0,0,0,0,0,0
2024,Q1,1.56,2.02,0.2955,1.0,29.55,0,0,0,0,0,0,0,0,0
2024,Q2,1.86,1.91,0.0286,1.0,2.86,0,0,0,0,0,0,0,0,0
2024,Q3,1.96,1.96,-0.001,1.0,-0.1,0,0,0,0,0,0,0,0,0
2024,Q4,1.37,1.37,-0.0034,0.0,-0.34,0,0,0,0,0,0,0,0,0
2025,Q1,1.26,1.33,0.0574,1.0,5.74,0,0,0,0,0,0,0,0,0
2025,Q2,1.38,1.43,0.0354,0.0,3.54,0,0,0,0,0,0,0,0,0
2025,Q3,1.54,1.62,0.0544,1.0,5.44,0,0,0,0,0,0,0,0,0
2025,Q4,1.68,1.75,0.0418,1.0,4.18,0,0,0,0,0,0,0,0,0
2026,Q1,1.5,1.53,0.0178,0.0,1.78,0,0,0,0,0,0,0,0,0
