year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.36,0.42,0.1733,0.0,17.33,0,0,0,0,0,0,0,0,0
2020,Q3,0.48,0.67,0.388,1.0,38.8,0,0,0,0,0,0,0,0,0
2020,Q4,0.73,0.76,0.0446,0.0,4.46,0,0,0,0,0,0,0,0,0
2021,Q1,0.41,0.43,0.0583,0.0,5.83,0,0,0,0,0,0,0,0,0
2021,Q2,0.49,0.52,0.0667,1.0,6.67,0,0,0,0,0,0,0,0,0
2021,Q3,0.83,0.83,-0.0004,0.0,-0.04,0,0,0,0,0,0,0,0,0
2021,Q4,0.87,0.88,0.0073,0.0,0.73,0,0,0,0,0,0,0,0,0
2022,Q1,0.53,0.54,0.0186,1.0,1.86,0,0,0,0,0,0,0,0,0
2022,Q2,0.63,0.63,-0.0015,0.0,-0.15,0,0,0,0,0,0,0,0,0
2022,Q3,0.85,0.85,0.005,0.0,0.5,0,0,0,0,0,0,0,0,0
2022,Q4,0.98,0.99,0.0072,1.0,0.72,0,0,0,0,0,0,0,0,0
2023,Q1,0.67,0.67,0.0042,0.0,0.42,0,0,0,0,0,0,0,0,0
2023,Q2,0.74,0.75,0.0163,1.0,1.63,0,0,0,0,0,0,0,0,0
2023,Q3,1.03,1.03,-0.0002,1.0,-0.02,0,0,0,0,0,0,0,0,0
2023,Q4,1.07,1.05,-0.0173,0.0,-1.73,0,0,0,0,0,0,0,0,0
2024,Q1,0.51,0.51,0.0031,0.0,0.31,0,0,0,0,0,0,0,0,0
2024,Q2,0.75,0.78,0.0344,0.0,3.44,0,0,0,0,0,0,0,0,0
2024,Q3,1.08,1.14,0.0518,1.0,5.18,0,0,0,0,0,0,0,0,0
2024,Q4,1.25,0.95,-0.2404,0.0,-24.04,0,0,0,0,0,0,0,0,0
2025,Q1,0.59,0.64,0.0846,1.0,8.46,0,0,0,0,0,0,0,0,0
2025,Q2,0.8,0.82,0.0262,0.0,2.62,0,0,0,0,0,0,0,0,0
2025,Q3,1.01,1.05,0.0363,0.0,3.63,0,0,0,0,0,0,0,0,0
2025,Q4,1.2,1.26,0.0466,0.0,4.66,0,0,0,0,0,0,0,0,0
2026,Q1,0.84,0.89,0.057,0.0,5.7,0,0,0,0,0,0,0,0,0
