year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,2.0,2.3,0.1523,1.0,15.23,0,0,0,0,0,0,0,0,0
2020,Q3,1.51,1.67,0.1051,0.0,10.51,0,0,0,0,0,0,0,0,0
2020,Q4,1.98,2.2,0.1103,1.0,11.03,0,0,0,0,0,0,0,0,0
2021,Q1,1.83,1.86,0.0176,0.0,1.76,0,0,0,0,0,0,0,0,0
2021,Q2,2.35,2.59,0.1043,1.0,10.43,0,0,0,0,0,0,0,0,0
2021,Q3,2.28,2.48,0.0862,0.0,8.62,0,0,0,0,0,0,0,0,0
2021,Q4,2.35,2.6,0.1051,1.0,10.51,0,0,0,0,0,0,0,0,0
2022,Q1,2.12,2.13,0.0053,0.0,0.53,0,0,0,0,0,0,0,0,0
2022,Q2,2.57,2.67,0.0408,1.0,4.08,0,0,0,0,0,0,0,0,0
2022,Q3,2.55,2.59,0.0163,0.0,1.63,0,0,0,0,0,0,0,0,0
2022,Q4,2.49,2.55,0.026,0.0,2.6,0,0,0,0,0,0,0,0,0
2023,Q1,2.24,2.35,0.0507,0.0,5.07,0,0,0,0,0,0,0,0,0
2023,Q2,2.5,2.68,0.0717,1.0,7.17,0,0,0,0,0,0,0,0,0
2023,Q3,2.62,2.8,0.0692,1.0,6.92,0,0,0,0,0,0,0,0,0
2023,Q4,2.52,2.66,0.0554,1.0,5.54,0,0,0,0,0,0,0,0,0
2024,Q1,2.28,2.29,0.0039,0.0,0.39,0,0,0,0,0,0,0,0,0
2024,Q2,2.65,2.71,0.0226,0.0,2.26,0,0,0,0,0,0,0,0,0
2024,Q3,2.7,2.82,0.0431,0.0,4.31,0,0,0,0,0,0,0,0,0
2024,Q4,2.21,2.42,0.0971,1.0,9.71,0,0,0,0,0,0,0,0,0
2025,Q1,2.01,2.04,0.0138,0.0,1.38,0,0,0,0,0,0,0,0,0
2025,Q2,2.58,2.77,0.0738,1.0,7.38,0,0,0,0,0,0,0,0,0
2025,Q3,2.68,2.77,0.0321,1.0,3.21,0,0,0,0,0,0,0,0,0
2025,Q4,2.76,2.8,0.0149,1.0,1.49,0,0,0,0,0,0,0,0,0
2026,Q1,2.46,2.46,-0.0011,0.0,-0.11,0,0,0,0,0,0,0,0,0
