year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.54,0.58,0.066,0.0,6.6,0,0,0,0,0,0,0,0,0
2020,Q3,0.65,0.8,0.2314,1.0,23.14,0,0,0,0,0,0,0,0,0
2020,Q4,0.62,0.7,0.1259,1.0,12.59,0,0,0,0,0,0,0,0,0
2021,Q1,0.74,0.8,0.086,0.0,8.6,0,0,0,0,0,0,0,0,0
2021,Q2,0.59,0.72,0.2104,1.0,21.04,0,0,0,0,0,0,0,0,0
2021,Q3,0.72,0.78,0.079,0.0,7.9,0,0,0,0,0,0,0,0,0
2021,Q4,0.58,0.65,0.1173,0.0,11.73,0,0,0,0,0,0,0,0,0
2022,Q1,0.63,0.79,0.2497,1.0,24.97,0,0,0,0,0,0,0,0,0
2022,Q2,0.53,0.6,0.1325,1.0,13.25,0,0,0,0,0,0,0,0,0
2022,Q3,0.68,0.7,0.0264,0.0,2.64,0,0,0,0,0,0,0,0,0
2022,Q4,0.56,0.63,0.1244,1.0,12.44,0,0,0,0,0,0,0,0,0
2023,Q1,0.78,0.85,0.0876,0.0,8.76,0,0,0,0,0,0,0,0,0
2023,Q2,0.6,0.68,0.1405,1.0,14.05,0,0,0,0,0,0,0,0,0
2023,Q3,0.76,0.79,0.0456,0.0,4.56,0,0,0,0,0,0,0,0,0
2023,Q4,0.66,0.72,0.0955,1.0,9.55,0,0,0,0,0,0,0,0,0
2024,Q1,0.77,0.78,0.0136,1.0,1.36,0,0,0,0,0,0,0,0,0
2024,Q2,0.69,0.69,0.0051,0.0,0.51,0,0,0,0,0,0,0,0,0
2024,Q3,0.74,0.78,0.0575,1.0,5.75,0,0,0,0,0,0,0,0,0
2024,Q4,0.74,0.75,0.0116,0.0,1.16,0,0,0,0,0,0,0,0,0
2025,Q1,0.78,0.84,0.0783,1.0,7.83,0,0,0,0,0,0,0,0,0
2025,Q2,0.6,0.62,0.031,0.0,3.1,0,0,0,0,0,0,0,0,0
2025,Q3,0.64,0.69,0.0843,1.0,8.43,0,0,0,0,0,0,0,0,0
2025,Q4,0.58,0.61,0.0577,0.0,5.77,0,0,0,0,0,0,0,0,0
2026,Q1,0.61,0.67,0.0912,0.0,9.12,0,0,0,0,0,0,0,0,0
