year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.17,0.19,0.1515,1.0,15.15,0,0,0,0,0,0,0,0,0
2020,Q3,0.16,0.18,0.1269,0.0,12.69,0,0,0,0,0,0,0,0,0
2020,Q4,0.08,0.11,0.5107,1.0,51.07,0,0,0,0,0,0,0,0,0
2021,Q1,0.11,0.11,0.0326,0.0,3.26,0,0,0,0,0,0,0,0,0
2021,Q2,0.12,0.17,0.4322,1.0,43.22,0,0,0,0,0,0,0,0,0
2021,Q3,0.12,0.16,0.3172,1.0,31.72,0,0,0,0,0,0,0,0,0
2021,Q4,0.18,0.16,-0.0979,0.0,-9.79,0,0,0,0,0,0,0,0,0
2022,Q1,0.17,0.19,0.126,0.0,12.6,0,0,0,0,0,0,0,0,0
2022,Q2,0.14,0.18,0.337,0.0,33.7,0,0,0,0,0,0,0,0,0
2022,Q3,0.15,0.24,0.6222,1.0,62.22,0,0,0,0,0,0,0,0,0
2022,Q4,0.17,0.21,0.2798,1.0,27.98,0,0,0,0,0,0,0,0,0
2023,Q1,0.18,0.07,-0.6317,0.0,-63.17,0,0,0,0,0,0,0,0,0
2023,Q2,0.16,0.43,1.6314,1.0,163.14,0,0,0,0,0,0,0,0,0
2023,Q3,0.22,0.13,-0.4027,0.0,-40.27,0,0,0,0,0,0,0,0,0
2023,Q4,0.15,0.17,0.1011,1.0,10.11,0,0,0,0,0,0,0,0,0
2024,Q1,0.17,0.17,0.0502,1.0,5.02,0,0,0,0,0,0,0,0,0
2024,Q2,0.18,0.06,-0.6878,0.0,-68.78,0,0,0,0,0,0,0,0,0
2024,Q3,0.16,0.17,0.0158,0.0,1.58,0,0,0,0,0,0,0,0,0
2024,Q4,0.18,0.19,0.0532,0.0,5.32,0,0,0,0,0,0,0,0,0
2025,Q1,0.19,0.23,0.1889,1.0,18.89,0,0,0,0,0,0,0,0,0
2025,Q2,0.18,0.18,0.051,1.0,5.1,0,0,0,0,0,0,0,0,0
2025,Q3,0.18,0.18,0.0294,1.0,2.94,0,0,0,0,0,0,0,0,0
2025,Q4,0.19,0.19,-0.0259,1.0,-2.59,0,0,0,0,0,0,0,0,0
2026,Q1,0.19,0.19,-0.0369,0.0,-3.69,0,0,0,0,0,0,0,0,0
