year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.96,2.13,0.0868,0.0,8.68,0,0,0,0,0,0,0,0,0
2020,Q3,1.77,2.2,0.2413,1.0,24.13,0,0,0,0,0,0,0,0,0
2020,Q4,1.73,1.72,-0.0085,0.0,-0.85,0,0,0,0,0,0,0,0,0
2021,Q1,1.62,1.69,0.0427,1.0,4.27,0,0,0,0,0,0,0,0,0
2021,Q2,1.92,1.8,-0.0649,1.0,-6.49,0,0,0,0,0,0,0,0,0
2021,Q3,1.71,1.47,-0.1384,0.0,-13.84,0,0,0,0,0,0,0,0,0
2021,Q4,1.65,1.62,-0.0196,0.0,-1.96,0,0,0,0,0,0,0,0,0
2022,Q1,1.25,1.3,0.044,0.0,4.4,0,0,0,0,0,0,0,0,0
2022,Q2,1.23,1.35,0.0957,1.0,9.57,0,0,0,0,0,0,0,0,0
2022,Q3,1.32,1.34,0.0173,1.0,1.73,0,0,0,0,0,0,0,0,0
2022,Q4,1.45,1.4,-0.034,0.0,-3.4,0,0,0,0,0,0,0,0,0
2023,Q1,1.51,1.54,0.0195,0.0,1.95,0,0,0,0,0,0,0,0,0
2023,Q2,1.32,1.67,0.2681,1.0,26.81,0,0,0,0,0,0,0,0,0
2023,Q3,1.48,1.65,0.1153,1.0,11.53,0,0,0,0,0,0,0,0,0
2023,Q4,1.59,1.74,0.091,1.0,9.1,0,0,0,0,0,0,0,0,0
2024,Q1,1.54,1.51,-0.0213,0.0,-2.13,0,0,0,0,0,0,0,0,0
2024,Q2,1.64,2.01,0.2246,1.0,22.46,0,0,0,0,0,0,0,0,0
2024,Q3,1.71,1.96,0.1461,1.0,14.61,0,0,0,0,0,0,0,0,0
2024,Q4,1.71,1.83,0.0722,1.0,7.22,0,0,0,0,0,0,0,0,0
2025,Q1,1.51,1.5,-0.0094,0.0,-0.94,0,0,0,0,0,0,0,0,0
2025,Q2,1.89,1.93,0.0204,0.0,2.04,0,0,0,0,0,0,0,0,0
2025,Q3,1.66,1.92,0.1597,1.0,15.97,0,0,0,0,0,0,0,0,0
2025,Q4,1.75,1.82,0.0393,1.0,3.93,0,0,0,0,0,0,0,0,0
2026,Q1,1.81,1.86,0.0266,0.0,2.66,0,0,0,0,0,0,0,0,0
