year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,0.25,0.24,-0.036,0.0,-3.6,0,0,0,0,0,0,0,0,0
2020,Q3,0.16,0.17,0.0767,1.0,7.67,0,0,0,0,0,0,0,0,0
2020,Q4,0.2,0.21,0.0585,0.0,5.85,0,0,0,0,0,0,0,0,0
2021,Q1,0.24,0.27,0.1151,0.0,11.51,0,0,0,0,0,0,0,0,0
2021,Q2,0.25,0.6,1.4309,1.0,143.09,0,0,0,0,0,0,0,0,0
2021,Q3,0.2,0.23,0.1776,1.0,17.76,0,0,0,0,0,0,0,0,0
2021,Q4,0.24,0.22,-0.0971,0.0,-9.71,0,0,0,0,0,0,0,0,0
2022,Q1,0.26,0.27,0.0369,0.0,3.69,0,0,0,0,0,0,0,0,0
2022,Q2,0.28,0.32,0.1257,1.0,12.57,0,0,0,0,0,0,0,0,0
2022,Q3,0.27,0.27,0.0033,1.0,0.33,0,0,0,0,0,0,0,0,0
2022,Q4,0.28,0.25,-0.1224,0.0,-12.24,0,0,0,0,0,0,0,0,0
2023,Q1,0.3,0.31,0.0288,0.0,2.88,0,0,0,0,0,0,0,0,0
2023,Q2,0.29,0.3,0.0358,1.0,3.58,0,0,0,0,0,0,0,0,0
2023,Q3,0.24,0.24,0.0069,1.0,0.69,0,0,0,0,0,0,0,0,0
2023,Q4,0.25,0.25,-0.0196,1.0,-1.96,0,0,0,0,0,0,0,0,0
2024,Q1,0.29,0.28,-0.0472,0.0,-4.72,0,0,0,0,0,0,0,0,0
2024,Q2,0.34,0.34,0.0077,1.0,0.77,0,0,0,0,0,0,0,0,0
2024,Q3,0.25,0.25,-0.0086,1.0,-0.86,0,0,0,0,0,0,0,0,0
2024,Q4,0.26,0.25,-0.0533,0.0,-5.33,0,0,0,0,0,0,0,0,0
2025,Q1,0.33,0.32,-0.0269,1.0,-2.69,0,0,0,0,0,0,0,0,0
2025,Q2,0.36,0.34,-0.0483,0.0,-4.83,0,0,0,0,0,0,0,0,0
2025,Q3,0.28,0.28,0.0081,1.0,0.81,0,0,0,0,0,0,0,0,0
2025,Q4,0.3,0.29,-0.0284,0.0,-2.84,0,0,0,0,0,0,0,0,0
2026,Q1,0.36,0.45,0.2385,0.0,23.85,0,0,0,0,0,0,0,0,0
