year,quarter,eps_estimate,eps_reported,earnings_surprise,earnings_momentum,surprise_pct,operating_income,prev_operating_income,revenue,prev_revenue,single_q_income,single_q_revenue,revenue_yoy,earnings_yoy,earnings_qoq
2020,Q2,1.22,1.65,0.3489,1.0,34.89,0,0,0,0,0,0,0,0,0
2020,Q3,1.58,2.12,0.3434,1.0,34.34,0,0,0,0,0,0,0,0,0
2020,Q4,2.36,2.82,0.1938,1.0,19.38,0,0,0,0,0,0,0,0,0
2021,Q1,1.74,2.04,0.1706,0.0,17.06,0,0,0,0,0,0,0,0,0
2021,Q2,2.38,2.95,0.2403,1.0,24.03,0,0,0,0,0,0,0,0,0
2021,Q3,3.27,3.27,0.0006,0.0,0.06,0,0,0,0,0,0,0,0,0
2021,Q4,4.15,4.36,0.0508,1.0,5.08,0,0,0,0,0,0,0,0,0
2022,Q1,2.58,2.7,0.0483,0.0,4.83,0,0,0,0,0,0,0,0,0
2022,Q2,3.95,4.69,0.1863,1.0,18.63,0,0,0,0,0,0,0,0,0
2022,Q3,4.86,5.18,0.0648,1.0,6.48,0,0,0,0,0,0,0,0,0
2022,Q4,4.9,5.02,0.0243,0.0,2.43,0,0,0,0,0,0,0,0,0
2023,Q1,1.55,2.12,0.3704,1.0,37.04,0,0,0,0,0,0,0,0,0
2023,Q2,2.32,2.94,0.2691,1.0,26.91,0,0,0,0,0,0,0,0,0
2023,Q3,3.53,3.91,0.1071,0.0,10.71,0,0,0,0,0,0,0,0,0
2023,Q4,4.6,5.17,0.124,0.0,12.4,0,0,0,0,0,0,0,0,0
2024,Q1,2.22,2.61,0.1757,1.0,17.57,0,0,0,0,0,0,0,0,0
2024,Q2,3.23,3.38,0.0474,0.0,4.74,0,0,0,0,0,0,0,0,0
2024,Q3,3.62,3.9,0.0773,1.0,7.73,0,0,0,0,0,0,0,0,0
2024,Q4,4.12,4.03,-0.0229,0.0,-2.29,0,0,0,0,0,0,0,0,0
2025,Q1,1.71,2.14,0.2486,1.0,24.86,0,0,0,0,0,0,0,0,0
2025,Q2,1.94,1.9,-0.0196,1.0,-1.96,0,0,0,0,0,0,0,0,0
2025,Q3,2.09,2.0,-0.0452,1.0,-4.52,0,0,0,0,0,0,0,0,0
2025,Q4,2.18,2.03,-0.0684,1.0,-6.84,0,0,0,0,0,0,0,0,0
2026,Q1,0.95,0.88,-0.0723,0.0,-7.23,0,0,0,0,0,0,0,0,0
